event_id,league,season,date,name,away,home,away_score,home_score,completed,status
401525434,CFB,2023,2023-08-26T18:30Z,Navy Midshipmen at Notre Dame Fighting Irish,Navy Midshipmen,Notre Dame Fighting Irish,3,42,True,Final
401520145,CFB,2023,2023-08-26T21:30Z,UTEP Miners at Jacksonville State Gamecocks,UTEP Miners,Jacksonville State Gamecocks,14,17,True,Final
401525450,CFB,2023,2023-08-26T23:00Z,Massachusetts Minutemen at New Mexico State Aggies,Massachusetts Minutemen,New Mexico State Aggies,41,30,True,Final
401532392,CFB,2023,2023-08-26T23:00Z,Ohio Bobcats at San Diego State Aztecs,Ohio Bobcats,San Diego State Aztecs,13,20,True,Final
401523986,CFB,2023,2023-08-27T00:00Z,San José State Spartans at USC Trojans,San José State Spartans,USC Trojans,28,56,True,Final
401520146,CFB,2023,2023-08-27T01:00Z,Florida International Panthers at Louisiana Tech Bulldogs,Florida International Panthers,Louisiana Tech Bulldogs,17,22,True,Final
401520147,CFB,2023,2023-08-27T01:10Z,Hawai'i Rainbow Warriors at Vanderbilt Commodores,Hawai'i Rainbow Warriors,Vanderbilt Commodores,28,35,True,Final
401525461,CFB,2023,2023-08-31T23:00Z,Elon Phoenix at Wake Forest Demon Deacons,Elon Phoenix,Wake Forest Demon Deacons,17,37,True,Final
401525816,CFB,2023,2023-08-31T23:00Z,Kent State Golden Flashes at UCF Knights,Kent State Golden Flashes,UCF Knights,6,56,True,Final
401531834,CFB,2023,2023-08-31T23:00Z,Rhode Island Rams at Georgia State Panthers,Rhode Island Rams,Georgia State Panthers,35,42,True,Final
401532393,CFB,2023,2023-08-31T23:00Z,St. Francis (PA) Red Flash at Western Michigan Broncos,St. Francis (PA) Red Flash,Western Michigan Broncos,17,35,True,Final
401540285,CFB,2023,2023-08-31T23:00Z,Sacramento State Hornets at Nicholls Colonels,Sacramento State Hornets,Nicholls Colonels,38,24,True,Final
401540323,CFB,2023,2023-08-31T23:00Z,Delaware Blue Hens at Stony Brook Seawolves,Delaware Blue Hens,Stony Brook Seawolves,37,13,True,Final
401540607,CFB,2023,2023-08-31T23:00Z,Tusculum Pioneers at Kennesaw State Owls,Tusculum Pioneers,Kennesaw State Owls,7,38,True,Final
401520174,CFB,2023,2023-08-31T23:30Z,NC State Wolfpack at UConn Huskies,NC State Wolfpack,UConn Huskies,24,14,True,Final
401520148,CFB,2023,2023-09-01T00:00Z,Nebraska Cornhuskers at Minnesota Golden Gophers,Nebraska Cornhuskers,Minnesota Golden Gophers,10,13,True,Final
401520165,CFB,2023,2023-09-01T00:00Z,South Dakota Coyotes at Missouri Tigers,South Dakota Coyotes,Missouri Tigers,10,35,True,Final
