event_id,league,season,date,team,opponent,home_away,points_allowed,pass_yds_allowed,rush_yds_allowed,total_yds_allowed,interceptions_forced,fumbles_forced,turnovers_forced
401525434,CFB,2023,2023-08-26,Navy Midshipmen,Notre Dame Fighting Irish,away,42.0,253.0,191.0,444.0,0,0,0
401525434,CFB,2023,2023-08-26,Notre Dame Fighting Irish,Navy Midshipmen,home,3.0,43.0,126.0,169.0,0,0,0
401520145,CFB,2023,2023-08-26,UTEP Miners,Jacksonville State Gamecocks,away,17.0,67.0,208.0,275.0,0,0,0
401520145,CFB,2023,2023-08-26,Jacksonville State Gamecocks,UTEP Miners,home,14.0,208.0,156.0,364.0,2.0,1.0,3.0
401525450,CFB,2023,2023-08-26,Massachusetts Minutemen,New Mexico State Aggies,away,30.0,248.0,222.0,470.0,2.0,1.0,3.0
401525450,CFB,2023,2023-08-26,New Mexico State Aggies,Massachusetts Minutemen,home,41.0,192.0,197.0,389.0,0,0,0
401532392,CFB,2023,2023-08-26,Ohio Bobcats,San Diego State Aztecs,away,20.0,164.0,154.0,318.0,0,1.0,1.0
401532392,CFB,2023,2023-08-26,San Diego State Aztecs,Ohio Bobcats,home,13.0,279.0,111.0,390.0,3.0,0,3.0
401523986,CFB,2023,2023-08-27,San José State Spartans,USC Trojans,away,56.0,341.0,160.0,501.0,0,0,0
401523986,CFB,2023,2023-08-27,USC Trojans,San José State Spartans,home,28.0,198.0,198.0,396.0,0,0,0
401520146,CFB,2023,2023-08-27,Florida International Panthers,Louisiana Tech Bulldogs,away,22.0,333.0,114.0,447.0,1.0,1.0,2.0
401520146,CFB,2023,2023-08-27,Louisiana Tech Bulldogs,Florida International Panthers,home,17.0,4.0,178.0,182.0,1.0,0,1.0
401520147,CFB,2023,2023-08-27,Hawai'i Rainbow Warriors,Vanderbilt Commodores,away,35.0,258.0,39.0,297.0,0,0,0
401520147,CFB,2023,2023-08-27,Vanderbilt Commodores,Hawai'i Rainbow Warriors,home,28.0,351.0,40.0,391.0,2.0,0,2.0
401525461,CFB,2023,2023-08-31,Elon Phoenix,Wake Forest Demon Deacons,away,37.0,329.0,98.0,427.0,1.0,0,1.0
401525461,CFB,2023,2023-08-31,Wake Forest Demon Deacons,Elon Phoenix,home,17.0,147.0,104.0,251.0,2.0,0,2.0
401525816,CFB,2023,2023-08-31,Kent State Golden Flashes,UCF Knights,away,56.0,334.0,389.0,723.0,2.0,1.0,3.0
401525816,CFB,2023,2023-08-31,UCF Knights,Kent State Golden Flashes,home,6.0,145.0,94.0,239.0,1.0,0,1.0
401531834,CFB,2023,2023-08-31,Rhode Island Rams,Georgia State Panthers,away,42.0,193.0,231.0,424.0,0,0,0
401531834,CFB,2023,2023-08-31,Georgia State Panthers,Rhode Island Rams,home,35.0,408.0,112.0,520.0,2.0,0,2.0
401532393,CFB,2023,2023-08-31,St. Francis (PA) Red Flash,Western Michigan Broncos,away,35.0,170.0,339.0,509.0,1.0,0,1.0
401532393,CFB,2023,2023-08-31,Western Michigan Broncos,St. Francis (PA) Red Flash,home,17.0,230.0,51.0,281.0,0,0,0
401540285,CFB,2023,2023-08-31,Sacramento State Hornets,Nicholls Colonels,away,24.0,196.0,97.0,293.0,1.0,0,1.0
401540285,CFB,2023,2023-08-31,Nicholls Colonels,Sacramento State Hornets,home,38.0,256.0,185.0,441.0,1.0,0,1.0
401540323,CFB,2023,2023-08-31,Delaware Blue Hens,Stony Brook Seawolves,away,13.0,163.0,164.0,327.0,3.0,0,3.0
401540323,CFB,2023,2023-08-31,Stony Brook Seawolves,Delaware Blue Hens,home,37.0,414.0,145.0,559.0,3.0,1.0,4.0
401540607,CFB,2023,2023-08-31,Tusculum Pioneers,Kennesaw State Owls,away,38.0,249.0,197.0,446.0,0,0,0
401540607,CFB,2023,2023-08-31,Kennesaw State Owls,Tusculum Pioneers,home,7.0,179.0,136.0,315.0,4.0,1.0,5.0
401520174,CFB,2023,2023-08-31,NC State Wolfpack,UConn Huskies,away,14.0,113.0,160.0,273.0,1.0,0,1.0
401520174,CFB,2023,2023-08-31,UConn Huskies,NC State Wolfpack,home,24.0,155.0,209.0,364.0,0,0,0
401520148,CFB,2023,2023-09-01,Nebraska Cornhuskers,Minnesota Golden Gophers,away,13.0,196.0,55.0,251.0,1.0,0,1.0
401520148,CFB,2023,2023-09-01,Minnesota Golden Gophers,Nebraska Cornhuskers,home,10.0,114.0,181.0,295.0,3.0,1.0,4.0
401520165,CFB,2023,2023-09-01,South Dakota Coyotes,Missouri Tigers,away,35.0,226.0,211.0,437.0,1.0,0,1.0
401520165,CFB,2023,2023-09-01,Missouri Tigers,South Dakota Coyotes,home,10.0,148.0,46.0,194.0,0,0,0
401520176,CFB,2023,2023-09-01,Florida Gators,Utah Utes,away,24.0,165.0,105.0,270.0,0,0,0
401520176,CFB,2023,2023-09-01,Utah Utes,Florida Gators,home,11.0,333.0,13.0,346.0,1.0,0,1.0
401531337,CFB,2023,2023-09-01,Arkansas-Pine Bluff Golden Lions,Tulsa Golden Hurricane,away,42.0,257.0,260.0,517.0,2.0,1.0,3.0
401531337,CFB,2023,2023-09-01,Tulsa Golden Hurricane,Arkansas-Pine Bluff Golden Lions,home,7.0,150.0,102.0,252.0,1.0,0,1.0
401531377,CFB,2023,2023-09-01,North Carolina A&T Aggies,UAB Blazers,away,35.0,291.0,167.0,458.0,0,1.0,1.0
401531377,CFB,2023,2023-09-01,UAB Blazers,North Carolina A&T Aggies,home,6.0,16.0,147.0,163.0,0,0,0
401523987,CFB,2023,2023-09-01,Southern Utah Thunderbirds,Arizona State Sun Devils,away,24.0,236.0,135.0,371.0,0,0,0
401523987,CFB,2023,2023-09-01,Arizona State Sun Devils,Southern Utah Thunderbirds,home,21.0,139.0,87.0,226.0,0,0,0
