captured_at,state,event_id,event_name,kickoff,away,home,away_spread,away_spread_odds,home_spread,home_spread_odds,total,over_odds,under_odds,away_ml,home_ml
2026-09-08T12:21:36Z,TN,35993112,Florida A&M @ Miami Florida,2026-09-11T00:00:00.000Z,Florida A&M,Miami Florida,53.5,-110,-53.5,-110,60.5,-110,-110,,
2026-09-08T12:21:36Z,TN,35993113,Richmond @ NC State,2026-09-11T23:00:00.000Z,Richmond,NC State,30.5,-110,-30.5,-110,48.5,-114,-106,3000,-10000
2026-09-08T12:21:36Z,TN,35993115,Norfolk State @ Virginia,2026-09-11T23:00:00.000Z,Norfolk State,Virginia,43.5,-106,-43.5,-114,54.5,-114,-106,,
2026-09-08T12:21:36Z,TN,36029909,Villanova @ Louisville,2026-09-11T23:00:00.000Z,Villanova,Louisville,36.5,-110,-36.5,-110,56.5,-110,-110,2400,-10000
2026-09-08T12:21:36Z,TN,35993114,Rutgers @ Boston College,2026-09-11T23:30:00.000Z,Rutgers,Boston College,3.5,-122,-3.5,100,53.5,-112,-108,130,-156
2026-09-08T12:21:36Z,TN,35632817,Missouri @ Kansas,2026-09-12T00:00:00.000Z,Missouri,Kansas,-5.5,-112,5.5,-108,49.5,-114,-106,-235,190
2026-09-08T12:21:36Z,TN,35170578,Oklahoma @ Michigan,2026-09-12T16:00:00.000Z,Oklahoma,Michigan,-5.5,-115,5.5,-105,43.5,-110,-110,-235,190
2026-09-08T12:21:36Z,TN,35632815,Oregon @ Oklahoma State,2026-09-12T16:00:00.000Z,Oregon,Oklahoma State,-22.5,-112,22.5,-108,57.5,-115,-105,-2800,1160
2026-09-08T12:21:36Z,TN,35993160,Penn State @ Temple,2026-09-12T16:00:00.000Z,Penn State,Temple,-23.5,-115,23.5,-105,49.5,-106,-114,-4000,1400
2026-09-08T12:21:36Z,TN,35993161,Washington State @ Kansas State,2026-09-12T16:00:00.000Z,Washington State,Kansas State,17.5,-105,-17.5,-115,49.5,-108,-112,740,-1250
2026-09-08T12:21:36Z,TN,35993162,South Florida @ Army,2026-09-12T16:00:00.000Z,South Florida,Army,3.5,-118,-3.5,-104,48.5,-105,-115,130,-156
2026-09-08T12:21:36Z,TN,35993163,Appalachian State @ East Carolina,2026-09-12T16:00:00.000Z,Appalachian State,East Carolina,7.5,-106,-7.5,-114,56.5,-108,-112,240,-310
2026-09-08T12:21:36Z,TN,35993164,Wake Forest @ Purdue,2026-09-12T16:00:00.000Z,Wake Forest,Purdue,-3.5,-114,3.5,-106,49.5,-105,-115,-192,158
2026-09-08T12:21:36Z,TN,35993165,Arizona State @ Texas A&M,2026-09-12T16:00:00.000Z,Arizona State,Texas A&M,14.5,-114,-14.5,-106,51.5,-114,-106,480,-690
2026-09-08T12:21:36Z,TN,35993166,East Tennessee State @ North Carolina,2026-09-12T16:00:00.000Z,East Tennessee State,North Carolina,35.5,-118,-35.5,-104,52.5,-108,-112,4000,-30000
2026-09-08T12:21:36Z,TN,35993169,Old Dominion @ Virginia Tech,2026-09-12T16:00:00.000Z,Old Dominion,Virginia Tech,18.5,-108,-18.5,-112,50.5,-108,-112,680,-1100
2026-09-08T12:21:36Z,TN,35993263,Wofford @ Kent State,2026-09-12T16:00:00.000Z,Wofford,Kent State,13.5,-112,-13.5,-108,46.5,-110,-110,460,-650
2026-09-08T12:21:36Z,TN,36042424,Howard @ Indiana,2026-09-12T16:00:00.000Z,Howard,Indiana,55.5,-110,-55.5,-110,64.5,-110,-110,,
2026-09-08T12:21:36Z,TN,36042436,Western Kentucky @ Georgia,2026-09-12T16:45:00.000Z,Western Kentucky,Georgia,40.5,-110,-40.5,-110,54.5,-110,-110,,
2026-09-08T12:21:36Z,TN,35993266,Colgate @ Central Michigan,2026-09-12T17:00:00.000Z,Colgate,Central Michigan,24.5,-110,-24.5,-110,50.5,-110,-110,1280,-3500
2026-09-08T12:21:36Z,TN,35993284,Holy Cross @ Miami Ohio,2026-09-12T17:00:00.000Z,Holy Cross,Miami Ohio,31.5,-110,-31.5,-110,51.5,-104,-118,2400,-10000
2026-09-08T12:21:36Z,TN,36042901,UT Martin @ West Virginia,2026-09-12T17:00:00.000Z,UT Martin,West Virginia,39.5,-110,-39.5,-110,56.5,-110,-110,,
2026-09-08T12:21:36Z,TN,35993268,Stony Brook @ Ball State,2026-09-12T18:00:00.000Z,Stony Brook,Ball State,15.5,-110,-15.5,-110,56.5,-110,-110,580,-880
2026-09-08T12:21:36Z,TN,35993271,Alabama @ Kentucky,2026-09-12T19:30:00.000Z,Alabama,Kentucky,-10.5,-110,10.5,-110,49.5,-115,-105,-400,310
2026-09-08T12:21:36Z,TN,35993273,Mississippi State @ Minnesota,2026-09-12T19:30:00.000Z,Mississippi State,Minnesota,-1.5,-110,1.5,-110,55.5,-110,-110,-120,100
2026-09-08T12:21:36Z,TN,35993299,Arizona @ BYU,2026-09-12T19:30:00.000Z,Arizona,BYU,7.5,-110,-7.5,-110,50.5,-105,-115,220,-275
2026-09-08T12:21:36Z,TN,35993301,Utah State @ Washington,2026-09-12T19:30:00.000Z,Utah State,Washington,27.5,-112,-27.5,-108,55.5,-110,-110,1600,-4500
2026-09-08T12:21:36Z,TN,35993477,Weber State @ Colorado,2026-09-12T19:30:00.000Z,Weber State,Colorado,34.5,-110,-34.5,-110,53.5,-106,-114,3000,-10000
2026-09-08T12:21:36Z,TN,35993478,California @ Syracuse,2026-09-12T19:30:00.000Z,California,Syracuse,3.5,-122,-3.5,100,56.5,-108,-112,130,-156
