captured_at,state,event_id,event_name,kickoff_display,away,home,away_spread,away_spread_odds,home_spread,home_spread_odds,total,over_odds,under_odds,away_ml,home_ml,source_url
2026-09-20T12:50:00Z,IL,36048239,Carolina Panthers @ Atlanta Falcons,12:01PM CT,Carolina Panthers,Atlanta Falcons,-2.5,-118,2.5,-104,43.5,-110,-110,-148,126,https://sportsbook.fanduel.com/football/nfl/carolina-panthers-@-atlanta-falcons-36048239
2026-09-20T12:50:00Z,IL,36048240,New Orleans Saints @ Baltimore Ravens,12:01PM CT,New Orleans Saints,Baltimore Ravens,8.5,-115,-8.5,-105,45.5,-110,-110,330,-420,https://sportsbook.fanduel.com/football/nfl/new-orleans-saints-@-baltimore-ravens-36048240
2026-09-20T12:50:00Z,IL,36048241,Green Bay Packers @ New York Jets,12:01PM CT,Green Bay Packers,New York Jets,-3.5,-108,3.5,-112,44.5,-110,-110,-184,154,https://sportsbook.fanduel.com/football/nfl/green-bay-packers-@-new-york-jets-36048241
2026-09-20T12:50:00Z,IL,36048242,Minnesota Vikings @ Chicago Bears,12:01PM CT,Minnesota Vikings,Chicago Bears,4.5,-110,-4.5,-110,47.5,-108,-112,184,-220,https://sportsbook.fanduel.com/football/nfl/minnesota-vikings-@-chicago-bears-36048242
2026-09-20T12:50:00Z,IL,36048244,Cincinnati Bengals @ Houston Texans,12:01PM CT,Cincinnati Bengals,Houston Texans,2.5,-105,-2.5,-115,45.5,-108,-112,130,-154,https://sportsbook.fanduel.com/football/nfl/cincinnati-bengals-@-houston-texans-36048244
2026-09-20T12:50:00Z,IL,36048245,Pittsburgh Steelers @ New England Patriots,12:01PM CT,Pittsburgh Steelers,New England Patriots,4.5,-102,-4.5,-120,41.5,-110,-110,205,-250,https://sportsbook.fanduel.com/football/nfl/pittsburgh-steelers-@-new-england-patriots-36048245
2026-09-20T12:50:00Z,IL,36048247,Cleveland Browns @ Tampa Bay Buccaneers,12:01PM CT,Cleveland Browns,Tampa Bay Buccaneers,8.5,-122,-8.5,100,41.5,-102,-120,340,-430,https://sportsbook.fanduel.com/football/nfl/cleveland-browns-@-tampa-bay-buccaneers-36048247
2026-09-20T12:50:00Z,IL,36048248,Philadelphia Eagles @ Tennessee Titans,12:01PM CT,Philadelphia Eagles,Tennessee Titans,-7,-110,7,-110,39.5,-112,-108,-350,280,https://sportsbook.fanduel.com/football/nfl/philadelphia-eagles-@-tennessee-titans-36048248
2026-09-20T12:50:00Z,IL,36048249,Jacksonville Jaguars @ Denver Broncos,3:06PM CT,Jacksonville Jaguars,Denver Broncos,2.5,-102,-2.5,-120,45.5,-105,-115,126,-148,https://sportsbook.fanduel.com/football/nfl/jacksonville-jaguars-@-denver-broncos-36048249
2026-09-20T12:50:00Z,IL,36048250,Las Vegas Raiders @ Los Angeles Chargers,3:06PM CT,Las Vegas Raiders,Los Angeles Chargers,6.5,-105,-6.5,-115,43.5,-110,-110,245,-300,https://sportsbook.fanduel.com/football/nfl/las-vegas-raiders-@-los-angeles-chargers-36048250
2026-09-20T12:50:00Z,IL,36048243,Seattle Seahawks @ Arizona Cardinals,3:26PM CT,Seattle Seahawks,Arizona Cardinals,-4.5,-102,4.5,-120,41.5,-102,-120,-210,176,https://sportsbook.fanduel.com/football/nfl/seattle-seahawks-@-arizona-cardinals-36048243
2026-09-20T12:50:00Z,IL,36048251,Miami Dolphins @ San Francisco 49ers,3:26PM CT,Miami Dolphins,San Francisco 49ers,13.5,-115,-13.5,-105,45.5,-102,-120,660,-1000,https://sportsbook.fanduel.com/football/nfl/miami-dolphins-@-san-francisco-49ers-36048251
2026-09-20T12:50:00Z,IL,36049680,Washington Commanders @ Dallas Cowboys,3:26PM CT,Washington Commanders,Dallas Cowboys,4.5,-120,-4.5,-102,50.5,-118,-104,172,-205,https://sportsbook.fanduel.com/football/nfl/washington-commanders-@-dallas-cowboys-36049680
2026-09-20T12:50:00Z,IL,36048252,Indianapolis Colts @ Kansas City Chiefs,7:21PM CT,Indianapolis Colts,Kansas City Chiefs,6.5,-120,-6.5,-102,46.5,-110,-110,230,-280,https://sportsbook.fanduel.com/football/nfl/indianapolis-colts-@-kansas-city-chiefs-36048252
2026-09-20T12:50:00Z,IL,36048246,New York Giants @ Los Angeles Rams,MON 7:16PM CT,New York Giants,Los Angeles Rams,7.5,-122,-7.5,100,47.5,-115,-105,265,-330,https://sportsbook.fanduel.com/football/nfl/new-york-giants-@-los-angeles-rams-36048246
