capture_id,quote_id,captured_at,source,source_updated_at,state,sport,event_id,event_name,kickoff_display,book,market_type,selection,line,american_price,quote_status,model_version
interim-il-20260926T0015Z,12632a06-4c12-435f-9d1a-ab90cae5d7b5,2026-09-26T00:15:08Z,FanDuel rendered Illinois sportsbook and matching structured market feed,,IL,NFL,35601592,Baltimore Ravens @ Dallas Cowboys,2026-09-27T20:25:00.000Z,FanDuel,spread,Baltimore Ravens,-3.5,-104,open,v3-forward-measurement
interim-il-20260926T0015Z,0f2ece09-0934-4f4b-abef-46ee730acbe1,2026-09-26T00:15:08Z,FanDuel rendered Illinois sportsbook and matching structured market feed,,IL,NFL,35601592,Baltimore Ravens @ Dallas Cowboys,2026-09-27T20:25:00.000Z,FanDuel,spread,Dallas Cowboys,3.5,-118,open,v3-forward-measurement
interim-il-20260926T0015Z,68aa1926-5c96-430e-8597-a481341fc44f,2026-09-26T00:15:08Z,FanDuel rendered Illinois sportsbook and matching structured market feed,,IL,NFL,35601592,Baltimore Ravens @ Dallas Cowboys,2026-09-27T20:25:00.000Z,FanDuel,total,Over,52.5,-118,open,v3-forward-measurement
interim-il-20260926T0015Z,c044c669-6adc-4458-8a00-66da1096f6e6,2026-09-26T00:15:08Z,FanDuel rendered Illinois sportsbook and matching structured market feed,,IL,NFL,35601592,Baltimore Ravens @ Dallas Cowboys,2026-09-27T20:25:00.000Z,FanDuel,total,Under,52.5,-104,open,v3-forward-measurement
interim-il-20260926T0015Z,27a7dba1-2031-46ed-92e8-6906a3b67bfa,2026-09-26T00:15:08Z,FanDuel rendered Illinois sportsbook and matching structured market feed,,IL,NFL,35601592,Baltimore Ravens @ Dallas Cowboys,2026-09-27T20:25:00.000Z,FanDuel,moneyline,Baltimore Ravens,,-180,open,v3-forward-measurement
interim-il-20260926T0015Z,87612098-491a-4401-8907-9f947a65d575,2026-09-26T00:15:08Z,FanDuel rendered Illinois sportsbook and matching structured market feed,,IL,NFL,35601592,Baltimore Ravens @ Dallas Cowboys,2026-09-27T20:25:00.000Z,FanDuel,moneyline,Dallas Cowboys,,152,open,v3-forward-measurement
interim-il-20260926T0015Z,cdb909bb-cf34-465b-b664-1f4b32ebb721,2026-09-26T00:15:08Z,FanDuel rendered Illinois sportsbook and matching structured market feed,,IL,NFL,36070615,Las Vegas Raiders @ New Orleans Saints,2026-09-27T20:25:00.000Z,FanDuel,total,Over,43.5,-112,open,v3-forward-measurement
interim-il-20260926T0015Z,39826443-c1cd-45cf-9e65-d14f7682027a,2026-09-26T00:15:08Z,FanDuel rendered Illinois sportsbook and matching structured market feed,,IL,NFL,36070615,Las Vegas Raiders @ New Orleans Saints,2026-09-27T20:25:00.000Z,FanDuel,total,Under,43.5,-108,open,v3-forward-measurement
interim-il-20260926T0015Z,d5ff8c29-e165-479b-8192-ca0ccda08103,2026-09-26T00:15:08Z,FanDuel rendered Illinois sportsbook and matching structured market feed,,IL,NFL,36070615,Las Vegas Raiders @ New Orleans Saints,2026-09-27T20:25:00.000Z,FanDuel,spread,Las Vegas Raiders,3,-102,open,v3-forward-measurement
interim-il-20260926T0015Z,df7b15fe-ef38-4763-a07b-306fb3dd2721,2026-09-26T00:15:08Z,FanDuel rendered Illinois sportsbook and matching structured market feed,,IL,NFL,36070615,Las Vegas Raiders @ New Orleans Saints,2026-09-27T20:25:00.000Z,FanDuel,spread,New Orleans Saints,-3,-120,open,v3-forward-measurement
