captured_at,state,event_id,event_name,kickoff,away,home,away_spread,away_spread_odds,home_spread,home_spread_odds,total,over_odds,under_odds,away_ml,home_ml
2026-09-26T18:15:26Z,IL,36094876,Colgate @ Villanova,2026-09-26T18:31:00.000Z,Colgate,Villanova,3.5,-110,-3.5,-110,44.5,-112,-108,148,-184
2026-09-26T18:15:26Z,IL,36073941,Central Arkansas @ Florida State,2026-09-26T19:00:00.000Z,Central Arkansas,Florida State,46.5,-110,-46.5,-110,62.5,-112,-108,,
2026-09-26T18:15:26Z,IL,36073947,Hawaii @ Wyoming,2026-09-26T19:00:00.000Z,Hawaii,Wyoming,-2.5,-110,2.5,-110,44.5,-104,-118,-128,106
2026-09-26T18:15:26Z,IL,36094861,Albany @ Princeton,2026-09-26T19:01:00.000Z,Albany,Princeton,1.5,-118,-1.5,-104,43.5,-108,-112,-106,-114
2026-09-26T18:15:26Z,IL,36073804,Utah @ Iowa State,2026-09-26T19:30:00.000Z,Utah,Iowa State,-7.5,-110,7.5,-110,46.5,-112,-108,-320,250
2026-09-26T18:15:26Z,IL,36073951,Robert Morris @ Buffalo,2026-09-26T19:30:00.000Z,Robert Morris,Buffalo,28.5,-106,-28.5,-114,46.5,-108,-112,2000,-7000
2026-09-26T18:15:26Z,IL,36073887,Connecticut @ Miami Ohio,2026-09-26T19:30:00.000Z,Connecticut,Miami Ohio,2.5,-110,-2.5,-110,52.5,-106,-114,112,-134
2026-09-26T18:15:26Z,IL,36073807,Iowa @ Michigan,2026-09-26T19:30:00.000Z,Iowa,Michigan,5.5,-112,-5.5,-108,40.5,-106,-114,176,-215
2026-09-26T18:15:26Z,IL,36073886,Boise State @ Western Michigan,2026-09-26T19:30:00.000Z,Boise State,Western Michigan,-7.5,-102,7.5,-120,50.5,-115,-105,-285,230
2026-09-26T18:15:26Z,IL,36073793,Ole Miss @ Florida,2026-09-26T19:30:00.000Z,Ole Miss,Florida,3.5,-108,-3.5,-112,59.5,-105,-115,152,-184
2026-09-26T18:15:26Z,IL,36073786,Oklahoma @ Georgia,2026-09-26T19:30:00.000Z,Oklahoma,Georgia,13.5,-115,-13.5,-105,44.5,-102,-120,420,-550
2026-09-26T18:15:26Z,IL,36102692,William & Mary @ Duke,2026-09-26T19:30:00.000Z,William & Mary,Duke,43.5,-110,-43.5,-110,61.5,-112,-108,,
2026-09-26T18:15:26Z,IL,36073817,TCU @ UCF,2026-09-26T19:30:00.000Z,TCU,UCF,-3.5,-102,3.5,-120,48.5,-110,-110,-166,138
2026-09-26T18:15:26Z,IL,36073953,Gardner Webb @ Marshall,2026-09-26T19:30:00.000Z,Gardner Webb,Marshall,24.5,-120,-24.5,-102,56.5,-106,-114,1400,-4000
2026-09-26T18:15:26Z,IL,36073950,New Mexico @ New Mexico State,2026-09-26T19:30:00.000Z,New Mexico,New Mexico State,-11.5,-110,11.5,-110,47.5,-115,-105,-500,375
2026-09-26T18:15:26Z,IL,36094886,Western Carolina @ East Tennessee State,2026-09-26T19:31:00.000Z,Western Carolina,East Tennessee State,1.5,-106,-1.5,-114,65.5,-110,-110,104,-128
2026-09-26T18:15:26Z,IL,36094855,VMI @ Samford,2026-09-26T19:31:00.000Z,VMI,Samford,15.5,-106,-15.5,-114,46.5,-110,-110,490,-750
2026-09-26T18:15:26Z,IL,36073956,North Carolina Central @ East Carolina,2026-09-26T20:00:00.000Z,North Carolina Central,East Carolina,37.5,-110,-37.5,-110,58.5,-106,-114,2400,-10000
2026-09-26T18:15:26Z,IL,36073811,Houston @ Georgia Southern,2026-09-26T20:00:00.000Z,Houston,Georgia Southern,-17.5,-110,17.5,-110,56.5,-110,-110,-1050,640
2026-09-26T18:15:26Z,IL,36094901,Rhode Island @ North Carolina A&T,2026-09-26T20:01:00.000Z,Rhode Island,North Carolina A&T,-23.5,-118,23.5,-104,50.5,-110,-110,-4500,1300
2026-09-26T18:15:26Z,IL,36094899,Lamar @ Nicholls,2026-09-26T20:01:00.000Z,Lamar,Nicholls,-7.5,-110,7.5,-110,45.5,-108,-112,-320,245
2026-09-26T18:15:26Z,IL,36094874,Texas Southern @ Alcorn State,2026-09-26T20:01:00.000Z,Texas Southern,Alcorn State,3.5,-106,-3.5,-114,54.5,-110,-110,152,-188
2026-09-26T18:15:26Z,IL,36073812,Vanderbilt @ Auburn,2026-09-26T20:15:00.000Z,Vanderbilt,Auburn,9.5,100,-9.5,-122,54.5,-112,-108,300,-385
2026-09-26T18:15:26Z,IL,36073896,South Florida @ Bowling Green,2026-09-26T21:00:00.000Z,South Florida,Bowling Green,-18.5,-106,18.5,-114,48.5,-110,-110,-1200,720
