captured_at,away,home,kickoff,away_spread,away_spread_odds,away_ml,total,over_odds,home_spread,home_spread_odds,home_ml,under_odds,source
2026-09-04T18:01Z,Ohio,Nebraska,SAT 12:00PM ET,23.5,-106,1400,46.5,-106,-23.5,-114,-4000,-114,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Coastal Carolina,WV Mountaineers,SAT 12:00PM ET,21.5,-115,980,56.5,-106,-21.5,-105,-2000,-114,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,New Hampshire,Syracuse,SAT 12:00PM ET,34.5,-112,5500,55.5,-112,-34.5,-108,,-108,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Miami Ohio,Pittsburgh,SAT 12:00PM ET,16.5,-108,550,47.5,-110,-16.5,-112,-820,-110,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,North Texas,Indiana,SAT 12:00PM ET,40.5,-110,,57.5,-105,-40.5,-110,,-115,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Lafayette,Connecticut,SAT 12:00PM ET,19.5,-110,860,51.5,-110,-19.5,-110,-1600,-110,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,East Carolina,Alabama,SAT 12:00PM ET,28.5,-122,2000,52.5,-110,-28.5,100,-7000,-110,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Bryant,Army,SAT 12:00PM ET,37.5,-105,,50.5,-115,-37.5,-115,,-105,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Tarleton State,Bowling Green,SAT 12:00PM ET,2.5,-110,112,48.5,-110,-2.5,-110,-134,-110,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Oregon State,Houston,SAT 12:00PM ET,20.5,-104,920,50.5,-112,-20.5,-118,-1800,-108,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Ball State,Ohio State,SAT 12:30PM ET,49.5,-105,,56.5,-106,-49.5,-115,,-114,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Kent State,South Carolina,SAT 12:45PM ET,36.5,-115,,54.5,-106,-36.5,-105,,-114,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Southeast Missouri State,Iowa State,SAT 1:00PM ET,30.5,-115,2400,52.5,-112,-30.5,-105,-10000,-108,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Duquesne,Air Force,SAT 1:00PM ET,28.5,-106,2400,56.5,-115,-28.5,-114,-10000,-105,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Youngstown State,Kentucky,SAT 1:00PM ET,21.5,-112,1060,62.5,-108,-21.5,-108,-2300,-112,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Rhode Island,Temple,SAT 2:00PM ET,14.5,-115,490,51.5,-105,-14.5,-105,-720,-115,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Tennessee State,Georgia,SAT 3:00PM ET,47.5,-110,7000,54.5,-112,-47.5,-110,,-108,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Furman,Tennessee,SAT 3:30PM ET,48.5,-105,,66.5,-108,-48.5,-115,,-112,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Marshall,Penn State,SAT 3:30PM ET,24.5,-120,1400,52.5,-105,-24.5,-102,-4000,-115,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Tulane,Duke,SAT 3:30PM ET,7.5,-110,245,51.5,-105,-7.5,-110,-310,-115,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Towson,Navy,SAT 3:30PM ET,31.5,-118,3500,51.5,-105,-31.5,-104,-20000,-115,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Texas State,Texas,SAT 3:30PM ET,29.5,-110,2200,59.5,-110,-29.5,-110,-10000,-110,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,The Citadel,Charlotte,SAT 3:30PM ET,19.5,-110,920,45.5,-115,-19.5,-110,-1800,-105,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Boston College,Cincinnati,SAT 3:30PM ET,7.5,-110,250,49.5,-112,-7.5,-110,-315,-108,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Boise State,Oregon,SAT 3:30PM ET,24.5,-110,1500,51.5,-110,-24.5,-110,-4000,-110,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Maine,Appalachian State,SAT 3:30PM ET,18.5,-112,800,52.5,-112,-18.5,-108,-1400,-108,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Fordham,North Dakota State,SAT 3:30PM ET,40.5,-105,,55.5,-106,-40.5,-115,,-114,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Baylor,Auburn,SAT 3:30PM ET,7.5,-115,240,58.5,-115,-7.5,-105,-295,-105,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Oklahoma State,Tulsa,SAT 3:45PM ET,-13.5,-110,-550,59.5,-105,13.5,-110,440,-115,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
