event_id,event_name,kickoff
35607262,New England Patriots @ Seattle Seahawks,2026-09-10T00:15:00.000Z
35596960,San Francisco 49ers @ Los Angeles Rams,2026-09-11T00:35:00.000Z
35610167,Buffalo Bills @ Houston Texans,2026-09-13T17:00:00.000Z
35607426,Chicago Bears @ Carolina Panthers,2026-09-13T17:01:00.000Z
35609019,Cleveland Browns @ Jacksonville Jaguars,2026-09-13T17:01:00.000Z
35609020,Atlanta Falcons @ Pittsburgh Steelers,2026-09-13T17:01:00.000Z
35609021,New York Jets @ Tennessee Titans,2026-09-13T17:01:00.000Z
35610168,New Orleans Saints @ Detroit Lions,2026-09-13T17:01:00.000Z
35610190,Baltimore Ravens @ Indianapolis Colts,2026-09-13T17:01:00.000Z
36053582,Tampa Bay Buccaneers @ Cincinnati Bengals,2026-09-13T17:01:00.000Z
35609293,Washington Commanders @ Philadelphia Eagles,2026-09-13T20:25:00.000Z
35610171,Green Bay Packers @ Minnesota Vikings,2026-09-13T20:25:00.000Z
35609018,Miami Dolphins @ Las Vegas Raiders,2026-09-13T20:26:00.000Z
35610170,Arizona Cardinals @ Los Angeles Chargers,2026-09-13T20:26:00.000Z
35596943,Dallas Cowboys @ New York Giants,2026-09-14T00:20:00.000Z
35601246,Denver Broncos @ Kansas City Chiefs,2026-09-15T00:15:00.000Z
