team,ret_share,portal_out_share,gone_share,portal_in_yds,qb_ret
Abilene Christian Wildcats,0.2462356067316209,0.0,0.7537643932683791,459.0,0.0
Air Force Falcons,0.6091224890499924,0.0,0.39087751095000756,0.0,1.0
Akron Zips,0.360844250363901,0.11513828238719069,0.5240174672489083,190.0,0.0
Alabama A&M Bulldogs,0.0,0.00997506234413965,0.9900249376558603,0.0,0.0
Alabama Crimson Tide,0.3037600337980566,0.06791297000422476,0.6283269961977186,494.0,0.0
Alabama State Hornets,0.0,0.3062953995157385,0.6937046004842615,0.0,0.0
Alcorn State Braves,0.5787401574803149,0.0,0.421259842519685,164.0,1.0
App State Mountaineers,0.142719961589245,0.5171047893410154,0.3401752490697395,977.0,0.0
Arizona State Sun Devils,0.1674066962678507,0.42721708868354735,0.40537621504860194,4281.0,0.0
Arizona Wildcats,0.7560635952187537,0.007659278171057212,0.23627712661018915,1250.0,1.0
Arkansas Razorbacks,0.17629320343307817,0.017049408489909535,0.8066573880770123,2339.0,0.0
Arkansas State Red Wolves,0.37034375374296324,0.5012576356449874,0.12839861061204935,80.0,0.0
Arkansas-Pine Bluff Golden Lions,0.32323232323232326,0.10774410774410774,0.569023569023569,26.0,0.0
Army Black Knights,0.43764614185502726,0.0,0.5623538581449727,0.0,1.0
Auburn Tigers,0.17483946293053124,0.7158493870402802,0.10931115002918856,8858.0,0.0
Austin Peay Governors,0.6783691959229898,0.05549263873159683,0.26613816534541335,74.0,1.0
BYU Cougars,0.6674335672380076,0.011733578741516162,0.32083285402047623,300.0,1.0
Ball State Cardinals,0.16217857865964772,0.062158331646082206,0.7756630896942701,194.0,0.0
Baylor Bears,0.09574934268185802,0.00492988606485539,0.8993207712532866,3341.0,0.0
Bethune-Cookman Wildcats,0.18015963511972635,0.2314709236031927,0.5883694412770809,229.0,0.0
Boise State Broncos,0.6893753336892685,0.06951414842498665,0.2411105178857448,509.0,1.0
Boston College Eagles,0.0762765023209133,0.4767281395057082,0.4469953581733785,1889.0,0.0
Bowling Green Falcons,0.23580786026200873,0.43649927219796214,0.32769286754002913,149.0,0.0
Bryant Bulldogs,0.4797238999137187,0.20103537532355478,0.31924072476272647,51.0,1.0
Bucknell Bison,0.0,0.0,1.0,0.0,0.0
Buffalo Bulls,0.14158667419536985,0.17320722755505363,0.6852060982495765,0.0,0.0
Cal Poly Mustangs,0.0,0.08463949843260188,0.9153605015673981,0.0,0.0
California Golden Bears,0.5690869354055367,0.17860611947547353,0.2523069451189898,5129.0,1.0
Campbell Fighting Camels,0.0,0.02800658978583196,0.9719934102141681,0.0,0.0
Central Arkansas Bears,0.0,0.3410553410553411,0.6589446589446589,0.0,0.0
Central Connecticut Blue Devils,0.0,0.0,1.0,0.0,0.0
Central Michigan Chippewas,0.42510434379347656,0.14639047766269903,0.4285051785438244,366.0,0.0
Charleston Southern Buccaneers,0.3503480278422274,0.16937354988399073,0.4802784222737819,0.0,0.0
Charlotte 49ers,0.4599285349668198,0.2669729453802961,0.2730985196528841,1104.0,1.0
Chattanooga Mocs,0.0,0.0,1.0,0.0,0.0
Cincinnati Bearcats,0.07276231779303699,0.20696301650403565,0.7202746657029273,4852.0,0.0
Clemson Tigers,0.2743589743589744,0.017482517482517484,0.7081585081585081,659.0,0.0
Coastal Carolina Chanticleers,0.2421510724277277,0.43814112527199256,0.3197078023002798,1741.0,0.0
Colgate Raiders,0.0,0.0,1.0,0.0,0.0
Colorado Buffaloes,0.23654901960784314,0.3491764705882353,0.41427450980392155,4710.0,0.0
Colorado State Rams,0.21431877796636323,0.6500540040117266,0.1356272180219102,1095.0,0.0
Delaware Blue Hens,0.6732846078324425,0.038725864514017674,0.28798952765353986,823.0,1.0
Delaware State Hornets,0.0,0.39959839357429716,0.6004016064257028,0.0,0.0
Duke Blue Devils,0.198105602579605,0.6034864973800886,0.19840790004030634,4373.0,0.0
Duquesne Dukes,0.3888048411497731,-0.01664145234493192,0.6278366111951589,440.0,0.0
East Carolina Pirates,0.06275346851654215,0.652614727854856,0.2846318036286019,1535.0,0.0
East Tennessee State Buccaneers,0.0,0.13838120104438642,0.8616187989556136,0.0,0.0
East Texas A&M Lions,0.0,0.12895927601809956,0.8710407239819005,0.0,0.0
