team,season,role,name,source
ARI,2006,oc,"Mike Kruczek, Keith Rowen",pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2006,dc,Clancy Pendergast,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2007,oc,Todd Haley,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2007,dc,Clancy Pendergast,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2008,oc,Todd Haley,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2008,dc,Clancy Pendergast,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2009,oc,Ken Whisenhunt,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2009,dc,Bill Davis,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2010,oc,Ken Whisenhunt,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2010,dc,Bill Davis,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2011,oc,Mike Miller,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2011,dc,Ray Horton,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2012,oc,Mike Miller,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2012,dc,Ray Horton,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2013,oc,Harold Goodwin,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2013,dc,Todd Bowles,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2014,oc,Harold Goodwin,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2014,dc,Todd Bowles,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2015,oc,Harold Goodwin,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2015,dc,James Bettcher,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2016,oc,Harold Goodwin,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2016,dc,James Bettcher,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2017,oc,Harold Goodwin,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2017,dc,James Bettcher,pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2018,oc,"Byron Leftwich, Mike McCoy",pfr-derived (jchernak96/NFL_Coordinator_Data)
ARI,2018,dc,Al Holcomb,pfr-derived (jchernak96/NFL_Coordinator_Data)
