season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2025,SF,QB,QB,13,INA,Brock Purdy,Brock,Purdy,1999-12-27,73,220,Iowa State,00-0037834,4361741,d5aef708-ad61-4ab8-a637-62ff96e92040,34218,15834,77672,PurdBr00,23241,8183,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",,5,REG,A01,Brock,PUR243289,54727,32005055-5224-3289-b108-8aab5e23b748,2022,2022,SF,262
2025,SF,QB,QB,13,ACT,Brock Purdy,Brock,Purdy,1999-12-27,73,220,Iowa State,00-0037834,4361741,d5aef708-ad61-4ab8-a637-62ff96e92040,34218,15834,77672,PurdBr00,23241,8183,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",QB,20,DIV,A01,Brock,PUR243289,54727,32005055-5224-3289-b108-8aab5e23b748,2022,2022,SF,262
2025,TB,OL,T,67,ACT,Luke Goedeke,Luke,Goedeke,1998-11-21,77,310,Central Michigan,00-0037835,,,,,,,,,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umds1rrsxq5kja5kt08g",T,11,REG,A01,Luke,GOE594395,54522,3200474f-4559-4395-107c-2bd9a4a78094,2022,2022,TB,57
2025,TB,OL,T,67,ACT,Luke Goedeke,Luke,Goedeke,1998-11-21,77,310,Central Michigan,00-0037835,,,,,,,,,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umds1rrsxq5kja5kt08g",T,18,REG,A01,Luke,GOE594395,54522,3200474f-4559-4395-107c-2bd9a4a78094,2022,2022,TB,57
2025,TB,OL,G,67,ACT,Luke Goedeke,Luke,Goedeke,1998-11-21,77,310,Central Michigan,00-0037835,,,,,,,,,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umds1rrsxq5kja5kt08g",T,1,REG,A01,Luke,GOE594395,54522,3200474f-4559-4395-107c-2bd9a4a78094,2022,2022,TB,57
2025,TB,OL,T,67,ACT,Luke Goedeke,Luke,Goedeke,1998-11-21,77,310,Central Michigan,00-0037835,,,,,,,,,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umds1rrsxq5kja5kt08g",T,16,REG,A01,Luke,GOE594395,54522,3200474f-4559-4395-107c-2bd9a4a78094,2022,2022,TB,57
2025,TB,OL,T,67,ACT,Luke Goedeke,Luke,Goedeke,1998-11-21,77,310,Central Michigan,00-0037835,,,,,,,,,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umds1rrsxq5kja5kt08g",T,12,REG,A01,Luke,GOE594395,54522,3200474f-4559-4395-107c-2bd9a4a78094,2022,2022,TB,57
2025,TB,OL,G,67,ACT,Luke Goedeke,Luke,Goedeke,1998-11-21,77,310,Central Michigan,00-0037835,,,,,,,,,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umds1rrsxq5kja5kt08g",T,2,REG,A01,Luke,GOE594395,54522,3200474f-4559-4395-107c-2bd9a4a78094,2022,2022,TB,57
2025,TB,OL,T,67,RES,Luke Goedeke,Luke,Goedeke,1998-11-21,77,310,Central Michigan,00-0037835,,,,,,,,,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umds1rrsxq5kja5kt08g",,4,REG,R01,Luke,GOE594395,54522,3200474f-4559-4395-107c-2bd9a4a78094,2022,2022,TB,57
2025,TB,OL,T,67,RES,Luke Goedeke,Luke,Goedeke,1998-11-21,77,310,Central Michigan,00-0037835,,,,,,,,,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umds1rrsxq5kja5kt08g",,6,REG,R01,Luke,GOE594395,54522,3200474f-4559-4395-107c-2bd9a4a78094,2022,2022,TB,57
2025,TB,OL,T,67,ACT,Luke Goedeke,Luke,Goedeke,1998-11-21,77,310,Central Michigan,00-0037835,,,,,,,,,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umds1rrsxq5kja5kt08g",T,15,REG,A01,Luke,GOE594395,54522,3200474f-4559-4395-107c-2bd9a4a78094,2022,2022,TB,57
