player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Emanuel Wilson,154173,HB,GB,3,38,7,12,0,80,24,4,4,42,2,223,5.9
Spencer Brown,57441,HB,CAR,3,31,8,5,0,13,20,5,5,36,1,111,3.6
Godwin Igwebuike,49166,HB,ATL,3,31,7,2,0,16,0,0,1,31,1,135,4.4
Trey Sermon,57372,HB,PHI,3,30,6,24,1,33,49,6,9,36,3,105,3.5
Carlos Washington Jr.,63268,HB,ATL,3,30,5,2,1,8,70,10,11,40,1,69,2.3
John Kelly Jr.,34761,HB,CLV,4,30,4,8,1,10,66,9,12,39,1,88,2.9
Julius Chestnut,109239,HB,TEN,3,29,7,31,1,55,58,5,6,34,1,174,6.0
Demetric Felton Jr.,40568,HB,CLV,4,28,4,8,0,16,27,6,8,34,1,122,4.4
Chase Brown,77787,HB,CIN,3,28,7,7,0,10,32,6,6,34,1,69,2.5
Roschon Johnson,99467,HB,CHI,3,28,5,6,0,24,24,5,6,33,0,98,3.5
Tank Bigsby,123974,HB,JAX,3,28,4,15,1,34,-2,1,1,29,0,159,5.7
Zamir White,83665,HB,LV,3,26,5,23,0,10,13,2,2,28,1,86,3.3
Kevin Harris,99141,HB,NE,3,25,7,19,0,7,9,1,1,26,1,58,2.3
Israel Abanikanda,122999,HB,NYJ,3,25,3,22,1,26,37,5,5,30,1,113,4.5
Travis Dye,83738,HB,NYJ,4,25,5,22,1,10,30,6,9,31,0,63,2.5
Zach Evans,123072,HB,LA,3,23,5,26,0,9,13,2,2,25,0,77,3.3
Jacques Patrick,45704,HB,TEN,2,23,6,31,0,21,18,2,2,25,0,105,4.6
Sean Tucker,123056,HB,TB,3,23,3,30,0,26,22,5,5,28,0,74,3.2
Tyrion Davis-Price,99169,HB,SF,3,23,6,28,0,15,16,2,3,25,0,112,4.9
Owen Wright,57486,HB,BLT,3,23,4,3,0,38,15,3,6,26,1,107,4.7
Anthony McFarland Jr.,57289,HB,PIT,3,22,4,25,0,31,23,3,3,25,2,75,3.4
Deneric Prince,83774,HB,KC,3,22,3,16,0,15,10,3,3,25,1,79,3.6
Malik Willis,60341,QB,TEN,3,22,8,31,4,26,0,0,0,9,1,130,5.9
Ty Chandler,62942,HB,MIN,2,22,3,18,0,9,29,4,4,26,0,65,3.0
Jordan Mason,62946,HB,SF,3,22,5,28,1,22,18,2,3,24,0,100,4.5
Kendre Miller,123091,HB,NO,3,22,4,20,0,9,47,7,8,29,1,42,1.9
Ellis Merriweather,128096,HB,NO,3,22,1,20,0,11,48,8,11,30,0,71,3.2
Emari Demercado,77763,HB,ARZ,3,22,5,1,0,16,31,5,7,27,0,65,3.0
Chris Brooks,83644,HB,MIA,3,22,7,17,0,13,39,3,3,25,2,104,4.7
Malik Davis,57196,HB,DAL,3,22,6,9,0,18,34,7,8,29,0,77,3.5
Tyjae Spears,97195,HB,TEN,3,22,5,31,0,33,20,4,5,26,1,117,5.3
Corey Clement,12253,HB,ARZ,3,22,4,1,0,29,22,6,8,28,0,97,4.4
Hunter Luepke,91319,FB,DAL,3,21,3,9,0,11,60,5,5,26,0,67,3.2
Darrynton Evans,40692,HB,BUF,3,21,6,4,0,35,10,2,2,23,1,108,5.1
SaRodorick Thompson,77777,HB,SEA,3,21,5,29,0,29,11,4,5,25,2,81,3.9
Jaleel McLaughlin,138346,HB,DEN,3,21,7,10,1,17,33,7,8,28,3,113,5.4
Ronnie Rivers,57208,HB,LA,3,21,5,26,0,15,0,0,0,21,0,105,5.0
Dewayne McBride,121495,HB,MIN,3,20,4,18,0,9,11,1,2,21,2,70,3.5
James Robinson,22425,HB,NYG,3,20,1,21,0,28,0,0,0,20,0,74,3.7
Craig Reynolds,94383,HB,DET,2,19,3,11,0,10,34,5,6,24,1,54,2.8
