player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
CeeDee Lamb,61570,WR,DAL,17,75.4,80,9,3,92,135,179,12,1749,13.0
Davante Adams,8688,WR,LV,17,60.2,59,23,0,46,103,171,8,1144,11.1
Tyreek Hill,10799,WR,MIA,16,71.3,83,17,1,78,119,167,13,1799,15.1
Garrett Wilson,97405,WR,NYJ,17,58.3,47,22,2,68,95,163,3,1042,11.0
Stefon Diggs,9579,WR,BUF,17,67.3,58,4,2,55,107,159,8,1183,11.1
Amon-Ra St. Brown,84470,WR,DET,16,75.3,75,11,1,70,119,158,10,1515,12.7
Puka Nacua,100632,WR,LA,17,68.6,68,26,1,80,105,153,6,1486,14.2
A.J. Brown,48327,WR,PHI,17,69.7,70,24,2,59,106,152,7,1456,13.7
Michael Pittman Jr.,29049,WR,IND,16,72.7,53,14,1,75,109,150,4,1152,10.6
Keenan Allen,7857,WR,LAC,13,74.5,56,27,2,42,108,145,7,1243,11.5
Ja'Marr Chase,84270,WR,CIN,16,71.4,63,7,1,76,100,140,7,1216,12.2
Evan Engram,11778,TE,JAX,17,81.4,47,15,3,34,114,140,4,963,8.4
Chris Olave,84355,WR,NO,16,63.0,57,20,0,51,87,138,5,1123,12.9
Adam Thielen,8288,WR,CAR,17,75.7,56,5,2,32,103,136,4,1014,9.8
DeAndre Hopkins,7808,WR,TEN,17,56.4,48,31,0,61,75,133,7,1057,14.1
DJ Moore,48267,WR,CHI,17,72.7,64,6,1,58,96,132,8,1364,14.2
Calvin Ridley,48262,WR,JAX,17,57.6,49,15,1,59,76,132,8,1016,13.4
Terry McLaurin,48229,WR,WAS,17,61.7,47,32,0,48,79,128,4,1002,12.7
Mike Evans,8642,WR,TB,17,62.2,54,30,0,75,79,127,13,1255,15.9
T.J. Hockenson,40912,TE,MIN,15,76.6,48,18,1,29,95,124,5,960,10.1
Chris Godwin,11839,WR,TB,17,67.5,53,30,0,47,83,123,2,1024,12.3
Amari Cooper,9437,WR,CLV,15,59.0,50,8,2,75,72,122,5,1250,17.4
David Njoku,11784,TE,CLV,16,67.5,35,8,2,43,81,120,6,882,10.9
Sam LaPorta,101690,TE,DET,17,72.9,48,11,0,48,86,118,10,889,10.3
Tyler Lockett,9502,WR,SEA,17,67.5,47,29,0,37,79,117,5,894,11.3
Travis Kelce,7844,TE,KC,15,79.5,50,16,1,53,93,117,5,984,10.6
D.K. Metcalf,47864,WR,SEA,16,58.9,52,29,0,73,66,112,8,1114,16.9
DeVonta Smith,61100,WR,PHI,16,72.3,47,24,1,63,81,112,7,1066,13.2
Nico Collins,61441,WR,HST,15,73.4,53,13,1,75,80,109,8,1297,16.2
Drake London,86519,WR,ATL,16,65.1,45,2,0,45,69,106,2,905,13.1
Jakobi Meyers,47468,WR,LV,16,67.0,46,23,0,33,71,106,8,807,11.4
Trey McBride,75916,TE,ARZ,17,77.1,42,1,1,38,81,105,3,825,10.2
Zay Flowers,97268,WR,BLT,16,74.0,41,3,0,75,77,104,5,858,11.1
Jordan Addison,123000,WR,MIN,17,67.3,38,18,0,62,70,104,10,911,13.0
George Pickens,99229,WR,PIT,17,60.6,41,25,3,86,63,104,5,1140,18.1
Jaylen Waddle,84088,WR,MIA,14,69.2,47,17,0,60,72,104,4,1014,14.1
Brandon Aiyuk,84109,WR,SF,16,74.3,61,28,1,76,75,101,7,1342,17.9
Rashee Rice,97605,WR,KC,16,79.0,44,16,2,67,79,100,7,938,11.9
Justin Jefferson,61398,WR,MIN,10,69.4,51,18,1,52,68,98,5,1074,15.8
Elijah Moore,84302,WR,CLV,17,60.2,29,8,1,42,59,98,2,640,10.8
Jake Ferguson,61081,TE,DAL,17,74.0,40,9,0,40,71,96,5,761,10.7
Marquise Brown,61568,WR,ARZ,14,54.3,32,1,0,41,51,94,4,574,11.3
Josh Downs,122832,WR,IND,17,72.3,30,14,0,59,68,94,2,771,11.3
Romeo Doubs,84329,WR,GB,17,63.4,41,12,1,36,59,93,8,674,11.4
Cooper Kupp,11824,WR,LA,12,64.1,33,26,0,62,59,92,5,737,12.5
Tyler Boyd,10689,WR,CIN,17,73.6,28,7,0,64,67,91,2,667,10.0
Breece Hall,97636,HB,NYJ,17,84.4,28,22,0,50,76,90,4,591,7.8
Dalton Kincaid,91791,TE,BUF,16,81.1,29,4,1,51,73,90,2,673,9.2
Jaxon Smith-Njigba,129758,WR,SEA,17,70.0,29,29,0,35,63,90,4,628,10.0
Jayden Reed,78171,WR,GB,16,71.1,32,12,0,59,64,90,8,793,12.4
George Kittle,11901,TE,SF,16,73.0,42,28,0,66,65,89,6,1020,15.7
Cole Kmet,60995,TE,CHI,17,83.0,36,6,1,53,73,88,6,719,9.8
Courtland Sutton,48164,WR,DEN,16,67.8,37,10,3,46,59,87,10,777,13.2
Deebo Samuel,48274,WR,SF,15,69.0,34,28,1,54,60,87,7,892,14.9
Alvin Kamara,11822,HB,NO,13,87.2,23,20,0,25,75,86,1,466,6.2
Kyle Pitts,83964,TE,ATL,17,61.6,35,2,0,39,53,86,3,667,12.6
Diontae Johnson,33441,WR,PIT,13,59.3,38,25,1,71,51,86,5,717,14.1
Curtis Samuel,11795,WR,WAS,16,72.9,26,32,0,37,62,85,4,613,9.9
Dalton Schultz,47304,TE,HST,15,70.2,35,13,1,31,59,84,5,635,10.8
Jerry Jeudy,61103,WR,DEN,16,64.3,28,10,1,47,54,84,2,758,14.0
Bijan Robinson,123126,HB,ATL,17,69.9,24,2,0,71,58,83,4,487,8.4
Tyler Conklin,47124,TE,NYJ,17,73.5,27,22,0,37,61,83,0,621,10.2
Jonathan Mingo,97774,WR,CAR,15,51.8,15,5,1,40,43,83,0,418,9.7
Brandin Cooks,8655,WR,DAL,16,66.7,38,9,1,37,54,81,8,657,12.2
Dallas Goedert,47272,TE,PHI,14,72.8,33,24,0,49,59,81,3,592,10.0
Christian Kirk,47546,WR,JAX,12,71.3,34,15,2,57,57,80,3,787,13.8
Christian McCaffrey,11763,HB,SF,16,84.8,31,28,1,41,67,79,7,564,8.4
Jahan Dotson,84375,WR,WAS,17,62.0,27,32,0,33,49,79,4,518,10.6
Gabe Davis,55410,WR,BUF,17,57.7,34,4,1,57,45,78,7,746,16.6
Logan Thomas,8755,TE,WAS,16,72.4,20,32,2,29,55,76,4,496,9.0
Demario Douglas,104155,WR,NE,14,64.5,26,19,1,42,49,76,0,561,11.4
Wan'Dale Robinson,101735,WR,NYG,15,78.9,29,21,0,33,60,76,1,525,8.8
Darius Slayton,25578,WR,NYG,17,65.8,29,21,0,80,50,76,4,770,15.4
Tank Dell,78874,WR,HST,11,63.5,33,13,0,68,47,74,7,709,15.1
Tee Higgins,61211,WR,CIN,12,56.8,33,7,0,80,42,74,5,656,15.6
Chigoziem Okonkwo,84000,TE,TEN,17,73.0,25,31,0,39,54,74,1,528,9.8
K.J. Osborn,23503,WR,MIN,16,65.8,28,18,1,47,48,73,3,540,11.3
Jaylen Warren,98692,HB,PIT,17,84.7,19,25,1,30,61,72,0,370,6.1
Darren Waller,9637,TE,NYG,12,72.2,25,21,0,29,52,72,1,552,10.6
Rashid Shaheed,63707,WR,NO,15,64.8,27,20,0,58,46,71,5,719,15.6
Robert Woods,7822,WR,HST,14,56.3,26,13,0,26,40,71,1,426,10.7
Gerald Everett,11799,TE,LAC,15,72.9,25,27,3,31,51,70,3,411,8.1
