player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Saquon Barkley,45791,HB,PHI,4,91,17,24,0,78,75,13,15,104,5,499,5.5
James Cook,83666,HB,BUF,3,53,15,4,0,33,64,6,6,59,3,272,5.1
Joe Mixon,11803,HB,HST,2,42,8,13,1,17,25,3,5,45,2,196,4.7
Derrick Henry,10679,HB,BLT,2,42,12,3,0,44,0,0,2,42,3,270,6.4
Brian Robinson,57120,HB,WAS,3,36,7,32,0,15,22,4,5,40,2,129,3.6
Kyren Williams,97118,HB,LA,2,35,7,26,1,30,15,4,4,39,0,182,5.2
Jayden Daniels,97993,QB,WAS,3,35,9,32,0,19,0,0,0,23,1,135,3.9
Jalen Hurts,40291,QB,PHI,4,34,13,24,1,44,0,0,0,24,5,194,5.7
Josh Allen,46601,QB,BUF,3,29,13,4,3,13,0,0,0,24,2,105,3.6
Kareem Hunt,11841,HB,KC,3,28,8,16,0,12,13,3,3,31,2,117,4.2
Austin Ekeler,12164,HB,WAS,3,22,3,32,1,35,84,12,14,34,0,89,4.0
Patrick Mahomes,11765,QB,KC,3,22,6,16,3,15,0,0,0,8,2,82,3.7
Lamar Jackson,46416,QB,BLT,2,21,8,3,1,20,0,0,0,13,0,120,5.7
Ty Johnson,45769,HB,BUF,3,20,5,4,0,17,34,4,4,24,0,94,4.7
Josh Jacobs,45953,HB,GB,1,18,2,12,1,31,40,3,3,21,1,81,4.5
Bucky Irving,144970,HB,TB,1,17,3,30,0,19,6,2,2,19,0,77,4.5
Jahmyr Gibbs,122474,HB,DET,1,14,6,11,0,33,70,6,10,20,2,105,7.5
Aaron Jones,11937,HB,MIN,1,13,1,18,0,13,12,3,6,16,0,48,3.7
C.J. Stroud,129759,QB,HST,2,13,5,13,2,28,0,0,0,4,0,82,6.3
Isiah Pacheco,83747,HB,KC,3,13,0,16,0,10,17,3,4,16,0,37,2.8
Kenneth Gainwell,77737,HB,PHI,4,13,3,24,0,10,26,3,3,16,0,42,3.2
Justice Hill,45865,HB,BLT,2,12,4,3,0,22,20,6,6,18,0,62,5.2
J.K. Dobbins,57366,HB,LAC,1,9,2,27,0,8,0,0,0,9,0,26,2.9
Gus Edwards,46027,HB,LAC,1,7,1,27,0,8,0,0,0,7,0,22,3.1
Baker Mayfield,46518,QB,TB,1,7,1,30,1,18,0,0,0,3,0,20,2.9
David Montgomery,45719,HB,DET,1,7,2,11,0,11,0,0,0,7,0,28,4.0
Ray Davis,101072,HB,BUF,3,7,2,4,1,16,0,0,0,7,1,36,5.1
Javonte Williams,77803,HB,DEN,1,7,0,10,0,6,14,2,2,9,0,29,4.1
Dameon Pierce,83659,HB,HST,2,6,1,13,0,13,0,0,0,6,0,25,4.2
Najee Harris,57121,HB,PIT,1,6,1,25,0,5,41,3,3,9,0,17,2.8
Kenny Pickett,60515,QB,PHI,2,5,0,24,0,-1,0,0,0,5,0,-7,-1.4
Jeremy McNichols,11917,HB,WAS,3,5,1,32,0,3,0,0,0,5,1,9,1.8
Cam Akers,57206,HB,MIN,1,5,1,18,0,26,0,0,0,5,0,39,7.8
Sam Darnold,29048,QB,MIN,1,4,3,18,1,17,0,0,0,3,0,19,4.8
Matthew Stafford,4924,QB,LA,2,4,0,26,2,5,0,0,0,3,0,-3,-0.8
Mark Andrews,47436,TE,BLT,2,4,4,3,1,3,88,7,10,11,0,8,2.0
Bo Nix,97790,QB,DEN,1,4,4,10,0,18,0,0,0,1,0,43,10.8
Will Shipley,144138,HB,PHI,2,4,3,24,0,57,0,0,0,4,1,77,19.3
Emanuel Wilson,154173,HB,GB,1,3,0,12,0,4,23,1,3,4,0,6,2.0
Xavier Worthy,144718,WR,KC,3,3,0,16,0,8,287,19,21,22,0,8,2.7
Mitch Trubisky,11757,QB,BUF,1,3,0,4,0,-1,0,0,0,3,0,-3,-1.0
Ronnie Rivers,57208,HB,LA,1,3,0,26,0,5,0,0,0,3,0,8,2.7
Russell Wilson,7077,QB,PIT,1,3,0,25,0,5,0,0,0,1,0,6,2.0
Jaylen Warren,98692,HB,PIT,1,2,1,25,0,4,19,4,4,6,0,6,3.0
Tyler Badie,83714,HB,DEN,1,2,0,10,0,7,0,0,0,2,0,8,4.0
Jordan Love,40306,QB,GB,1,2,0,12,0,11,0,0,0,1,0,10,5.0
Dare Ogunbowale,12329,HB,HST,2,2,0,13,0,9,0,1,1,3,0,14,7.0
Tucker Kraft,104034,TE,GB,1,2,2,12,0,8,26,5,5,7,0,10,5.0
Marvin Mims Jr.,122937,WR,DEN,1,2,1,10,0,4,12,2,4,4,0,1,0.5
Marcus Mariota,9435,QB,WAS,3,2,1,32,0,2,0,0,0,2,0,1,0.5
Jaleel McLaughlin,138346,HB,DEN,1,2,0,10,0,1,0,1,1,3,0,-2,-1.0
Dallas Goedert,47272,TE,PHI,4,2,0,24,0,9,215,17,20,19,0,13,6.5
Derius Davis,78196,WR,LAC,1,1,0,27,1,-3,4,1,1,2,0,-3,-3.0
Steven Sims,48341,WR,BLT,2,1,1,3,0,15,4,1,1,2,0,15,15.0
Hassan Haskins,83701,HB,LAC,1,1,1,27,0,5,0,0,1,1,0,5,5.0
Samaje Perine,11869,HB,KC,3,1,1,16,0,8,17,1,2,2,0,8,8.0
Puka Nacua,100632,WR,LA,2,1,0,26,0,7,141,11,21,12,0,7,7.0
Jameson Williams,101701,WR,DET,1,1,1,11,0,61,19,1,4,2,1,61,61.0
Jared Goff,10635,QB,DET,1,1,1,11,1,7,0,0,0,0,0,7,7.0
Rachaad White,131633,HB,TB,1,1,0,30,0,1,14,2,2,3,0,1,1.0
Matt Araiza,82642,P,KC,1,1,0,16,0,-18,0,0,0,1,0,-18,-18.0
