player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Calais Campbell,4364,DI,MIA,17,10,1,17,7,0,0,5,39
Brandon Graham,5538,ED,PHI,11,4,1,24,3,0,0,4,12
Kareem Jackson,5545,S,BUF,2,1,0,4,0,0,0,0,2
Jerry Hughes,5556,ED,HST,7,2,0,13,0,0,0,0,3
Linval Joseph,5571,DI,DAL,17,5,1,9,1,0,0,2,11
Von Miller,6154,ED,BUF,13,2,0,4,3,0,0,6,7
Cameron Jordan,6176,ED,NO,17,11,0,20,3,1,0,4,21
Cameron Heyward,6183,DI,PIT,17,11,0,25,12,0,0,10,48
Lawrence Guy Sr.,6385,DI,CIN,4,2,0,7,0,0,0,0,0
Nick Bellore,6515,LB,WAS,4,0,0,32,0,0,0,0,1
Stephon Gilmore,7016,CB,MIN,15,10,1,18,0,1,8,0,48
Bobby Wagner,7050,LB,WAS,17,34,1,32,6,0,3,3,95
Lavonte David,7060,LB,TB,17,21,3,30,2,1,4,6,90
Demario Davis,7079,LB,NO,16,40,0,20,1,1,4,2,89
Rodney McLeod,7271,S,CLV,17,6,0,8,0,0,6,0,28
Tashaun Gipson Sr.,7288,S,SF,5,1,0,28,0,0,1,0,6
Harrison Smith,7641,S,MIN,16,17,0,18,0,3,4,1,60
Darius Slay,7817,CB,PHI,14,7,1,24,0,0,12,0,44
Robert Woods,7822,WR,HST,1,0,0,13,0,0,0,0,0
Johnathan Hankins,7830,DI,SEA,17,7,0,29,1,1,0,1,21
Tyrann Mathieu,7850,S,NO,17,8,2,20,0,3,2,0,54
John Jenkins,7863,DI,LV,17,16,0,23,2,0,0,2,31
William Gholston,7908,DI,TB,17,4,0,30,2,0,0,1,7
Jordan Poyer,8000,S,MIA,16,31,0,17,1,0,3,0,70
Tony Jefferson,8361,S,LAC,6,6,0,27,0,0,0,0,21
Jadeveon Clowney,8636,ED,CAR,14,14,0,5,5,0,0,6,28
Khalil Mack,8640,ED,LAC,16,3,2,27,8,0,0,7,24
C.J. Mosley,8652,LB,NYJ,4,3,0,22,0,0,0,0,13
Jimmie Ward,8665,S,HST,10,17,0,13,0,2,1,0,35
DeMarcus Lawrence,8669,ED,DAL,4,4,1,9,2,0,0,3,8
Kyle Van Noy,8675,ED,BLT,16,9,2,3,9,0,0,13,21
Jordan Matthews,8677,TE,CAR,1,0,0,5,0,0,0,0,0
DaQuan Jones,8747,DI,BUF,16,7,0,4,4,0,0,3,12
Brent Urban,8769,DI,BLT,13,4,0,3,0,0,0,0,15
Shelby Harris,8869,DI,CLV,14,11,1,8,2,0,0,2,21
Denico Autry,8982,ED,HST,10,4,0,13,3,0,0,3,8
Shaquil Barrett,9000,ED,TB,1,1,0,30,0,0,0,0,1
C.J. Goodwin,9243,CB,DAL,2,0,0,9,0,0,0,0,0
