player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Joe Burrow,28022,QB,CIN,17,652,70.6,460,264,7,9,108.5,48,43,4918,7.5
Aaron Rodgers,2241,QB,NYJ,17,584,63.0,368,199,22,11,90.5,40,28,3897,6.7
Patrick Mahomes,11765,QB,KC,16,581,67.5,392,236,16,11,93.5,36,26,3928,6.8
Geno Smith,7820,QB,SEA,17,578,70.4,407,221,29,15,93.2,50,21,4320,7.5
Baker Mayfield,46518,QB,TB,17,570,71.4,407,244,30,16,106.8,40,41,4500,7.9
Bo Nix,97790,QB,DEN,17,567,66.3,376,195,10,12,93.3,24,29,3775,6.7
Caleb Williams,144622,QB,CHI,17,562,62.5,351,190,6,6,87.8,68,20,3541,6.3
Sam Darnold,29048,QB,MIN,17,545,66.2,361,220,18,12,102.5,48,35,4319,7.9
Kyler Murray,38334,QB,ARZ,17,541,68.8,372,205,1,11,93.5,30,21,3851,7.1
Jared Goff,10635,QB,DET,17,539,72.4,390,242,11,12,111.8,31,37,4629,8.6
C.J. Stroud,129759,QB,HST,17,532,63.2,336,201,13,12,87.0,52,20,3727,7.0
Matthew Stafford,4924,QB,LA,16,517,65.8,340,180,26,8,93.7,28,20,3762,7.3
Justin Herbert,28237,QB,LAC,17,504,65.9,332,187,27,3,101.7,41,23,3870,7.7
Josh Allen,46601,QB,BUF,16,483,63.6,307,190,4,6,101.4,14,28,3731,7.7
Jayden Daniels,97993,QB,WAS,17,480,69.0,331,203,32,9,100.1,47,25,3568,7.4
Lamar Jackson,46416,QB,BLT,17,474,66.7,316,215,3,4,119.6,23,41,4172,8.8
Brock Purdy,77672,QB,SF,15,455,65.9,300,199,28,12,96.1,31,20,3864,8.5
Kirk Cousins,7102,QB,ATL,14,453,66.9,303,163,2,16,88.6,27,18,3508,7.7
Jordan Love,40306,QB,GB,15,425,63.1,268,157,12,11,96.7,14,25,3389,8.0
Tua Tagovailoa,60326,QB,MIA,11,399,72.9,291,166,17,7,101.4,21,19,2867,7.2
Bryce Young,123943,QB,CAR,14,384,60.9,234,132,5,9,82.2,29,15,2403,6.3
Jalen Hurts,40291,QB,PHI,15,361,68.7,248,159,24,5,103.7,38,18,2903,8.0
Daniel Jones,39395,QB,NYG,10,341,63.3,216,110,21,7,79.4,29,8,2070,6.1
Drake Maye,143969,QB,NE,13,338,66.6,225,132,19,10,88.1,34,15,2276,6.7
Russell Wilson,7077,QB,PIT,11,336,63.7,214,122,25,5,95.6,33,16,2482,7.4
Cooper Rush,12324,QB,DAL,11,308,60.7,187,92,9,5,83.8,13,12,1844,6.0
Gardner Minshew,41401,QB,LV,10,306,66.3,203,110,23,10,81.0,29,9,2013,6.6
Will Levis,83542,QB,TEN,12,301,63.1,190,95,31,12,81.4,41,13,2091,6.9
Jameis Winston,9434,QB,CLV,9,296,61.1,181,108,8,12,80.6,24,13,2121,7.2
Dak Prescott,10769,QB,DAL,8,286,64.7,185,88,9,8,86.0,21,11,1978,6.9
Trevor Lawrence,77632,QB,JAX,10,284,60.6,172,103,15,7,85.2,18,11,2045,7.2
Derek Carr,8671,QB,NO,10,279,67.7,189,94,20,5,101.0,8,15,2145,7.7
Anthony Richardson,124393,QB,IND,11,264,47.7,126,82,14,12,61.6,14,8,1814,6.9
Mac Jones,60323,QB,JAX,10,262,65.3,171,82,15,8,79.2,14,7,1672,6.4
Joe Flacco,4332,QB,IND,7,248,65.3,162,88,14,7,90.5,18,12,1761,7.1
Aidan O'Connell,60516,QB,LV,9,243,63.4,154,80,23,4,86.7,10,8,1612,6.6
Mason Rudolph,46569,QB,TEN,8,228,64.0,146,85,31,9,80.1,11,9,1530,6.7
Spencer Rattler,97408,QB,NO,7,228,57.0,130,67,20,5,70.4,22,4,1317,5.8
Deshaun Watson,11767,QB,CLV,7,216,63.4,137,54,8,3,79.0,33,5,1148,5.3
Drew Lock,39517,QB,NYG,7,181,59.1,107,53,21,5,75.5,12,6,1071,5.9
Jacoby Brissett,10725,QB,NE,7,161,59.0,95,45,19,1,74.2,18,2,826,5.1
Justin Fields,82118,QB,PIT,7,161,65.8,106,51,25,1,93.3,16,5,1106,6.9
Andy Dalton,6187,QB,CAR,6,160,66.3,106,52,5,6,82.0,7,7,989,6.2
Tyler Huntley,46448,QB,MIA,5,133,64.7,86,52,17,3,80.1,15,3,831,6.2
Dorian Thompson-Robinson,83574,QB,CLV,6,118,51.7,61,23,8,6,39.5,8,0,440,3.7
Michael Penix Jr.,82134,QB,ATL,5,105,58.1,61,36,2,3,78.9,4,3,775,7.4
Desmond Ridder,55086,QB,LV,5,85,61.2,52,25,23,2,73.6,10,2,458,5.4
Malik Willis,60341,QB,GB,6,54,74.1,40,24,12,0,124.8,8,3,550,10.2
Tim Boyle,21956,QB,NYG,3,50,54.0,27,12,21,1,68.4,2,1,276,5.5
Joshua Dobbs,11890,QB,SF,2,47,68.1,32,19,28,2,87.3,2,2,361,7.7
Tanner McKee,131770,QB,PHI,2,45,66.7,30,17,24,0,117.2,2,4,323,7.2
Tommy DeVito,60545,QB,NYG,2,44,70.5,31,16,21,0,85.1,6,0,257,5.8
Marcus Mariota,9435,QB,WAS,3,44,77.3,34,24,32,0,131.3,3,4,364,8.3
Kenny Pickett,60515,QB,PHI,4,42,59.5,25,12,24,1,86.5,4,2,291,6.9
Jimmy Garoppolo,8697,QB,LA,1,41,65.9,27,16,26,1,97.0,3,2,334,8.1
Trey Lance,91399,QB,DAL,3,41,61.0,25,14,9,1,69.8,4,0,266,6.5
Jake Haener,60596,QB,NO,6,39,46.2,18,10,20,1,62.6,6,1,226,5.8
Davis Mills,52269,QB,HST,4,36,55.6,20,9,13,0,72.9,2,0,212,5.9
Skylar Thompson,60417,QB,MIA,2,33,63.6,21,8,17,0,78.7,6,0,187,5.7
Bailey Zappe,60396,QB,CLV,1,31,51.6,16,8,8,2,51.8,1,1,170,5.5
Brandon Allen,10835,QB,SF,2,30,56.7,17,8,28,2,60.3,2,1,199,6.6
Joe Milton III,82151,QB,NE,1,29,75.9,22,15,19,0,111.4,0,1,241,8.3
Mitch Trubisky,11757,QB,BUF,5,26,73.1,19,7,4,0,117.3,0,2,179,6.9
Tyrod Taylor,6332,QB,NYJ,2,22,77.3,17,9,22,0,128.6,0,3,119,5.4
Carson Wentz,10636,QB,KC,2,19,63.2,12,5,16,0,80.6,4,0,118,6.2
Sam Howell,97599,QB,SEA,1,14,35.7,5,1,29,1,14.6,4,0,24,1.7
Mike White,46453,QB,BUF,1,11,27.3,3,1,4,0,39.6,0,0,28,2.5
Hendon Hooker,60593,QB,DET,3,9,66.7,6,3,11,0,86.3,1,0,62,6.9
Taylor Heinicke,9896,QB,LAC,4,5,60.0,3,2,27,0,75.4,3,0,28,5.6
Taysom Hill,12112,TE,NO,4,4,50.0,2,1,20,1,26.0,0,0,21,5.3
Josh Johnson,4474,QB,BLT,3,3,66.7,2,1,3,0,81.3,1,0,17,5.7
Tyson Bagent,169628,QB,CHI,2,2,100.0,2,1,6,0,89.6,0,0,11,5.5
Nick Mullens,12282,QB,MIN,2,2,100.0,2,2,18,0,118.8,0,0,38,19.0
Courtland Sutton,48164,WR,DEN,2,2,100.0,2,2,10,0,158.3,0,1,30,15.0
Clayton Tune,77652,QB,ARZ,1,2,100.0,2,0,1,0,83.3,0,0,8,4.0
Johnny Hekker,7252,P,CAR,2,2,0.0,0,0,5,0,39.6,0,0,0,0.0
Bryan Anger,7072,P,DAL,2,2,50.0,1,0,9,0,56.3,0,0,4,2.0
DJ Moore,48267,WR,CHI,1,1,0.0,0,0,6,0,39.6,0,0,0,0.0
Tutu Atwell,77965,WR,LA,1,1,0.0,0,0,26,0,39.6,0,0,0,0.0
Dyami Brown,77986,WR,WAS,1,1,0.0,0,0,32,0,39.6,0,0,0,0.0
Darnell Mooney,48236,WR,ATL,1,1,0.0,0,0,2,0,39.6,0,0,0,0.0
Cedrick Wilson Jr.,48170,WR,NO,2,1,100.0,1,1,20,0,158.3,1,1,21,21.0
Allen Lazard,48135,WR,NYJ,1,1,0.0,0,0,22,0,39.6,0,0,0,0.0
Keenan Allen,7857,WR,CHI,1,1,0.0,0,0,6,1,0.0,0,0,0,0.0
Tyler Boyd,10689,WR,TEN,1,1,0.0,0,0,31,0,39.6,0,0,0,0.0
Amon-Ra St. Brown,84470,WR,DET,1,1,100.0,1,1,11,0,135.4,0,1,7,7.0
David Montgomery,45719,HB,DET,1,1,100.0,1,1,11,0,118.8,0,1,3,3.0
Miles Killebrew,10745,S,PIT,1,1,0.0,0,0,25,0,39.6,0,0,0,0.0
Kyle Trask,39987,QB,TB,1,1,100.0,1,0,30,0,87.5,0,0,5,5.0
Malik Nabers,146759,WR,NYG,1,1,0.0,0,0,21,0,39.6,0,0,0,0.0
Kendrick Bourne,12270,WR,NE,1,1,0.0,0,0,19,0,39.6,0,0,0,0.0
Ricky Pearsall,100660,WR,SF,1,1,0.0,0,0,28,0,39.6,0,0,0,0.0
Riley Dixon,10862,P,DEN,1,1,100.0,1,0,10,0,79.2,0,0,3,3.0
JK Scott,38809,P,LAC,1,1,100.0,1,0,27,0,79.2,0,0,3,3.0
Jaxon Smith-Njigba,129758,WR,SEA,1,1,100.0,1,1,29,0,118.8,0,0,35,35.0
AJ Cole,36038,P,LV,1,1,100.0,1,1,23,0,118.8,0,0,34,34.0
Jack Fox,34735,P,DET,1,1,100.0,1,1,11,0,118.8,0,0,17,17.0
Jalen Coker,143068,WR,CAR,1,1,100.0,1,1,5,0,118.8,0,0,19,19.0
Joe Mixon,11803,HB,HST,1,1,0.0,0,0,13,0,39.6,0,0,0,0.0
