player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Cameron Jordan,6176,ED,NO,1,0,0,20,0,0,0,0,0
Demario Davis,7079,LB,NO,1,0,0,20,0,0,0,0,1
Darius Slay,7817,CB,PIT,1,0,0,25,0,0,0,0,1
John Jenkins,7863,DI,BLT,2,0,0,3,0,0,0,0,1
Tony Jefferson,8361,S,LAC,4,2,0,27,0,1,1,1,3
DaQuan Jones,8747,DI,BUF,1,0,0,4,1,0,0,0,0
Brent Urban,8769,DI,BLT,2,0,0,3,0,0,0,0,2
Shelby Harris,8869,DI,CLV,2,1,0,8,2,0,0,0,0
Mike Pennel,9316,DI,KC,3,1,0,16,0,0,0,0,0
Bud Dupree,9455,ED,LAC,1,0,0,27,0,0,0,0,0
Mario Edwards Jr.,9468,DI,HST,1,0,0,13,0,0,0,1,0
Eddie Goldman,9472,DI,WAS,3,2,0,32,1,0,0,0,2
Denzel Perryman,9481,LB,LAC,1,0,0,27,0,0,0,0,1
Danielle Hunter,9521,ED,HST,1,0,0,13,0,0,0,0,1
Carl Davis Jr.,9523,DI,WAS,3,1,0,32,0,0,0,0,2
Quandre Diggs,9633,S,TEN,1,0,0,31,0,0,0,0,0
Rakeem Nunez-Roches,9650,DI,NYG,2,0,0,21,0,0,0,0,1
Alex Singleton,9994,LB,DEN,1,0,0,10,0,0,0,0,0
Joey Bosa,10637,ED,BUF,1,0,0,4,0,0,0,0,0
Jalen Ramsey,10639,S,PIT,1,0,0,25,0,0,0,0,3
DeForest Buckner,10641,DI,IND,1,0,0,14,1,0,0,0,0
Sheldon Rankins,10646,DI,HST,1,0,0,13,0,0,0,0,0
Kenny Clark,10661,DI,GB,1,1,0,12,0,0,0,0,1
Emmanuel Ogbah,10666,ED,JAX,2,0,0,15,0,0,0,0,3
Jaylon Smith,10668,LB,LV,3,1,0,23,0,0,0,0,3
Chris Jones,10671,DI,KC,2,0,0,16,0,0,0,1,1
Austin Johnson,10677,DI,JAX,2,0,0,15,1,0,0,0,1
Jihad Ward,10678,ED,TEN,3,1,0,31,1,0,0,1,1
A'Shawn Robinson,10680,DI,CAR,2,1,0,5,0,0,0,0,0
Deion Jones,10686,LB,TB,3,2,0,30,0,0,0,0,7
Adam Gotsis,10697,DI,TB,3,0,0,30,0,0,0,0,6
Kevin Byard,10698,S,CHI,2,0,0,6,0,0,0,0,2
Maliek Collins,10701,DI,CLV,1,1,0,8,0,0,0,0,1
Jonathan Bullard,10706,DI,NO,3,1,0,20,0,0,0,0,3
Daryl Worley,10711,S,WAS,2,2,0,32,0,0,0,0,6
Sheldon Day,10737,DI,WAS,3,2,0,32,1,0,0,0,4
Eric Murray,10740,S,JAX,2,0,0,15,0,0,0,0,1
Miles Killebrew,10745,S,PIT,3,2,0,25,0,0,1,0,7
Andrew Billings,10756,DI,CHI,2,0,0,6,0,0,0,1,2
Deon Bush,10758,S,KC,1,0,0,16,0,0,0,0,0
Matthew Judon,10780,ED,MIA,1,0,0,17,0,0,0,0,0
Elandon Roberts,10848,LB,LV,3,0,0,23,0,0,0,0,2
Kevon Seymour,10852,CB,WAS,1,0,0,32,0,0,0,0,1
Jalen Mills,10867,S,HST,2,4,0,13,0,1,0,0,2
