player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Chris Blair,84096,WR,ATL,3,66.7,7,2,0,52,12,18,2,197,16.4
Dalevon Campbell,101711,WR,LAC,4,44.4,5,27,0,49,8,18,0,147,18.4
Nick Nash,98679,WR,ATL,3,66.7,9,2,0,24,12,18,0,136,11.3
Dylan Drummond,78187,WR,ATL,3,82.4,2,2,0,25,14,17,0,96,6.9
Dante Pettis,48113,WR,NO,3,43.8,4,20,0,20,7,16,1,87,12.4
Jamaal Pritchett,155624,WR,NYJ,3,46.7,4,22,0,25,7,15,0,70,10.0
Theo Wease Jr.,98005,WR,MIA,3,66.7,6,17,0,23,10,15,2,104,10.4
Gunner Olszewski,95015,WR,NYG,3,66.7,5,21,0,50,10,15,1,112,11.2
Tez Johnson,123709,WR,TB,2,80.0,7,30,0,16,12,15,1,82,6.8
Dante Miller,109158,HB,NYG,3,100.0,10,21,0,18,14,14,0,135,9.6
Tanner Hudson,66924,TE,CIN,2,64.3,5,7,0,21,9,14,2,80,8.9
Gage Larvadain,150169,WR,CLV,3,64.3,6,8,0,26,9,14,1,94,10.4
Ja'Corey Brooks,146587,WR,WAS,3,71.4,4,32,0,16,10,14,0,90,9.0
Coleman Owen,104969,WR,IND,3,92.9,7,14,0,25,13,14,1,124,9.5
Dominic Lovett,146872,WR,DET,3,50.0,3,11,0,10,7,14,0,45,6.4
Joel Wilson,77943,TE,CHI,3,78.6,4,6,1,16,11,14,1,85,7.7
Efton Chism III,141521,WR,NE,2,85.7,7,19,0,33,12,14,2,121,10.1
Jeshaun Jones,84283,WR,MIN,3,69.2,5,18,0,25,9,13,0,100,11.1
Isaac TeSlaa,172430,WR,DET,4,76.9,9,11,0,33,10,13,3,146,14.6
Mason Tipton,109617,WR,NO,3,61.5,5,20,0,54,8,13,1,158,19.8
Britain Covey,32933,WR,LA,3,69.2,3,26,0,26,9,13,0,76,8.4
Ryan Flournoy,159617,WR,DAL,3,53.8,5,9,0,23,7,13,0,92,13.1
Anthony Gould,97078,WR,IND,3,69.2,4,14,0,15,9,13,0,85,9.4
Brennan Presley,122982,WR,LA,3,84.6,6,26,0,40,11,13,1,164,14.9
Charlie Jones,55038,WR,CIN,2,53.8,5,7,0,21,7,13,1,73,10.4
Ryan Miller,78734,WR,TB,3,76.9,3,30,0,21,10,13,0,95,9.5
Tahj Washington,97288,WR,MIA,3,84.6,4,17,0,34,11,13,0,116,10.5
John Metchie III,97400,WR,PHI,3,53.8,3,24,0,18,7,13,0,67,9.6
Robbie Chosen,11254,WR,SF,3,75.0,4,28,0,30,9,12,0,117,13.0
Maurice Alexander,33465,WR,CHI,3,75.0,6,6,0,18,9,12,1,71,7.9
Brandon Smith,61327,WR,NYJ,3,83.3,6,22,0,21,10,12,0,113,11.3
Drake Stoops,78087,WR,LA,3,66.7,6,26,0,15,8,12,1,74,9.3
Jelani Woods,60509,TE,IND,3,58.3,6,14,0,23,7,12,0,75,10.7
