player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Jonathan Taylor,57488,HB,IND,17,323,84,14,2,83,378,46,54,369,18,1585,4.9
Christian McCaffrey,11763,HB,SF,17,311,70,28,2,41,924,102,121,413,10,1202,3.9
James Cook,83666,HB,BUF,17,309,68,4,6,64,291,33,39,342,12,1621,5.2
Derrick Henry,10679,HB,BLT,17,307,79,3,4,59,150,15,19,322,16,1595,5.2
Bijan Robinson,123126,HB,ATL,17,287,63,2,4,93,820,79,99,366,7,1478,5.1
Saquon Barkley,45791,HB,PHI,16,280,48,24,1,65,273,37,48,317,7,1140,4.1
Ashton Jeanty,157196,HB,LV,17,266,44,23,2,64,346,55,68,321,5,975,3.7
Travis Etienne Jr.,57185,HB,JAX,17,260,48,15,1,71,292,36,47,296,7,1107,4.3
Kyren Williams,97118,HB,LA,17,259,74,26,2,34,281,36,44,295,10,1252,4.8
Javonte Williams,77803,HB,DAL,16,252,67,9,2,66,137,35,46,287,11,1201,4.8
Jahmyr Gibbs,122474,HB,DET,17,243,56,11,2,78,616,77,92,320,13,1223,5.0
Breece Hall,97636,HB,NYJ,16,243,57,22,2,59,350,36,40,279,4,1065,4.4
Tony Pollard,27126,HB,TEN,17,242,48,31,4,65,206,33,39,275,5,1082,4.5
De'Von Achane,124305,HB,MIA,16,238,56,17,1,59,488,67,85,305,8,1350,5.7
Rico Dowdle,40693,HB,CAR,17,236,51,5,2,53,297,39,46,275,6,1076,4.6
Josh Jacobs,45953,HB,GB,15,234,55,12,2,40,282,36,43,270,13,929,4.0
Chase Brown,77787,HB,CIN,17,232,52,7,2,37,437,69,86,301,6,1019,4.4
Quinshon Judkins,157128,HB,CLV,14,230,50,8,0,46,171,26,33,256,7,827,3.6
D'Andre Swift,57212,HB,CHI,16,223,62,6,2,25,299,34,45,256,9,1087,4.9
Kenneth Walker III,97199,HB,SEA,17,221,46,29,1,55,282,31,34,252,5,1027,4.6
Jaylen Warren,98692,HB,PIT,16,211,52,25,1,45,333,40,42,251,6,958,4.5
Woody Marks,124179,HB,HST,16,196,39,13,1,23,208,24,36,220,2,703,3.6
Zach Charbonnet,97630,HB,SEA,16,184,48,29,0,30,144,20,23,204,12,730,4.0
TreVeyon Henderson,145059,HB,NE,17,180,45,19,1,69,221,35,41,215,9,911,5.1
Tyrone Tracy,84226,HB,NYG,15,176,39,21,1,31,288,36,43,212,2,740,4.2
Jacory Croskey-Merritt,102382,HB,WAS,17,175,41,32,4,72,68,9,11,184,8,805,4.6
Bucky Irving,144970,HB,TB,10,173,27,30,1,32,277,30,33,203,1,588,3.4
Kyle Monangai,129891,HB,CHI,17,169,40,6,0,39,164,18,27,187,5,783,4.6
Kareem Hunt,11841,HB,KC,17,163,55,16,2,33,143,18,24,181,8,611,3.7
Jordan Mason,62946,HB,MIN,16,159,44,18,3,24,51,14,15,173,6,758,4.8
David Montgomery,45719,HB,DET,17,158,41,11,2,72,192,24,26,182,8,716,4.5
Kimani Vidal,123727,HB,LAC,13,155,32,27,1,59,136,16,20,171,3,643,4.1
J.K. Dobbins,57366,HB,DEN,10,153,37,10,0,41,37,11,14,164,4,772,5.0
RJ Harvey,99622,HB,DEN,17,146,27,10,1,50,356,47,57,193,7,540,3.7
Blake Corum,129574,HB,LA,17,145,44,26,0,48,36,8,14,153,6,746,5.1
Tyler Allgeier,83639,HB,ATL,17,143,36,2,0,21,96,14,16,157,8,514,3.6
Chuba Hubbard,57373,HB,CAR,15,134,31,5,1,14,223,30,36,164,1,511,3.8
Rachaad White,131633,HB,TB,17,132,37,30,0,39,218,40,42,172,4,572,4.3
Aaron Jones,11937,HB,MIN,12,132,28,18,2,31,199,28,37,160,2,548,4.2
Alvin Kamara,11822,HB,NO,11,131,21,20,3,18,186,33,39,164,1,471,3.6
Rhamondre Stevenson,98689,HB,NE,14,130,29,19,3,56,345,32,37,162,7,603,4.6
Emanuel Wilson,154173,HB,GB,17,125,32,12,1,15,99,15,16,140,3,496,4.0
Omarion Hampton,162750,HB,LAC,9,124,31,27,1,54,192,32,34,156,4,545,4.4
Nick Chubb,45783,HB,HST,15,122,20,13,0,30,67,13,18,135,3,506,4.1
Devin Singletary,40485,HB,NYG,17,119,27,21,0,29,151,18,19,137,5,437,3.7
Isiah Pacheco,83747,HB,KC,13,118,27,16,0,16,101,19,26,137,1,462,3.9
Kenneth Gainwell,77737,HB,PIT,17,114,34,25,2,55,486,73,81,187,5,537,4.7
Josh Allen,46601,QB,BUF,17,112,46,4,7,40,0,0,0,60,14,579,5.2
Chris Rodriguez Jr.,83689,HB,WAS,13,112,32,32,0,48,30,3,4,115,6,500,4.5
Jalen Hurts,40291,QB,PHI,16,105,39,24,8,29,0,0,0,66,8,421,4.0
Drake Maye,143969,QB,NE,17,103,37,19,9,28,2,1,1,43,4,450,4.4
Cam Skattebo,147787,HB,NYG,8,101,27,21,1,24,207,24,30,125,5,410,4.1
Michael Carter,57337,HB,ARZ,13,92,19,1,0,22,267,33,42,125,1,333,3.6
Brian Robinson,57120,HB,SF,17,92,20,28,0,19,25,8,12,100,2,400,4.3
Sean Tucker,123056,HB,TB,15,86,22,30,1,43,34,8,11,94,7,320,3.7
Jaxson Dart,146409,QB,NYG,14,86,38,21,5,29,0,0,0,47,9,487,5.7
Samaje Perine,11869,HB,CIN,15,84,32,7,3,32,87,17,20,101,3,382,4.5
Bhayshul Tuten,150568,HB,JAX,15,83,23,15,1,15,79,10,13,93,5,307,3.7
Justin Herbert,28237,QB,LAC,16,83,33,27,7,41,0,0,0,34,2,498,6.0
Bo Nix,97790,QB,DEN,17,83,25,10,4,25,0,0,1,50,5,356,4.3
Trevor Lawrence,77632,QB,JAX,17,82,39,15,5,21,0,0,0,40,9,359,4.4
Bam Knight,97432,HB,ARZ,10,82,21,1,1,17,160,22,29,104,4,269,3.3
Caleb Williams,144622,QB,CHI,17,77,28,6,9,29,22,2,2,36,3,388,5.0
Tyjae Spears,97195,HB,TEN,13,72,16,31,0,41,264,45,50,117,2,283,3.9
Justin Fields,82118,QB,NYJ,9,71,26,22,5,43,0,0,1,43,4,383,5.4
Jaylen Wright,146934,HB,MIA,10,70,17,17,2,32,44,5,8,75,2,288,4.1
Ollie Gordon II,157792,HB,MIA,17,70,21,17,0,20,32,7,9,77,3,199,2.8
Lamar Jackson,46416,QB,BLT,13,67,24,3,6,19,0,0,0,37,2,349,5.2
Dylan Sampson,163772,HB,CLV,15,65,12,8,1,26,271,33,35,98,0,175,2.7
Patrick Mahomes,11765,QB,KC,14,64,27,16,3,22,-10,1,1,12,5,422,6.6
Tank Bigsby,123974,HB,PHI,12,63,18,24,0,29,32,3,4,66,2,356,5.7
Keaton Mitchell,123826,HB,BLT,13,59,16,3,1,55,63,9,12,68,1,341,5.8
Jayden Daniels,97993,QB,WAS,7,58,14,32,3,18,0,0,0,19,2,278,4.8
Ray Davis,101072,HB,BUF,17,58,15,4,0,23,86,10,13,68,0,275,4.7
Devin Neal,144558,HB,NO,9,57,11,20,0,21,104,17,19,74,2,206,3.6
Baker Mayfield,46518,QB,TB,17,55,27,30,11,33,0,0,0,12,1,382,6.9
Bryce Young,123943,QB,CAR,16,54,16,5,7,24,0,0,0,21,2,216,4.0
Dak Prescott,10769,QB,DAL,17,53,15,9,6,14,0,0,0,27,2,177,3.3
Malik Davis,57196,HB,DAL,9,52,11,9,0,43,16,2,5,54,2,250,4.8
Taysom Hill,12112,TE,NO,13,52,16,20,3,29,91,11,15,63,1,114,2.2
Marcus Mariota,9435,QB,WAS,11,50,12,32,6,44,0,0,0,32,1,297,5.9
Ty Johnson,45769,HB,BUF,17,50,13,4,1,23,263,24,31,74,3,200,4.0
C.J. Stroud,129759,QB,HST,14,48,17,13,2,30,0,0,0,22,1,209,4.4
Jordan Love,40306,QB,GB,15,47,14,12,8,25,0,0,0,23,0,199,4.2
Kendre Miller,123091,HB,NO,7,47,9,20,0,18,30,5,5,52,1,193,4.1
Audric Estime,147476,HB,NO,6,46,12,20,0,32,103,12,13,58,1,198,4.3
Tyler Shough,83537,QB,NO,11,45,11,20,3,34,0,0,0,25,3,186,4.1
Daniel Jones,39395,QB,IND,13,45,19,14,9,19,0,0,0,22,5,164,3.6
Brashard Smith,143951,HB,KC,17,44,5,16,1,14,172,25,33,69,0,151,3.4
Jeremy McNichols,11917,HB,WAS,17,44,13,32,1,60,196,25,31,69,1,221,5.0
Emari Demercado,77763,HB,ARZ,12,44,9,1,1,71,101,13,18,57,0,312,7.1
Jawhar Jordan,99595,HB,HST,4,43,8,13,0,50,34,7,7,50,0,193,4.5
