player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Sincere McCormick,97119,HB,UTSA,10,226,57,331,2,69,122,18,24,244,11,1334,5.9
Breece Hall,97636,HB,IOWA STATE,10,223,66,193,2,75,145,17,19,240,17,1347,6.0
Larry Rountree III,57308,HB,MISSOURI,10,211,59,229,1,46,100,15,20,226,14,989,4.7
Mohamed Ibrahim,55226,HB,MINNESOTA,7,202,66,225,1,53,53,7,9,209,15,1079,5.3
Kevin Harris,99141,HB,S CAROLINA,10,185,58,289,1,88,159,21,27,206,15,1138,6.2
Najee Harris,57121,HB,ALABAMA,10,184,61,103,2,42,249,27,33,211,22,1082,5.9
Kyren Williams,97118,HB,NOTRE DAME,10,180,57,258,4,65,266,24,32,204,12,1010,5.6
Leddie Brown,77766,HB,W VIRGINIA,9,179,47,343,2,87,202,31,34,209,9,945,5.3
Isaiah Spiller,99146,HB,TEXAS A&M,9,177,54,312,3,57,174,16,22,193,7,982,5.5
Ulysses Bentley IV,97200,HB,SMU,10,170,45,287,0,84,174,21,26,191,11,913,5.4
Brenden Knox,57287,HB,MARSHALL,8,168,50,214,0,45,86,7,8,175,9,820,4.9
Carlos Davis,83755,HB,S ALABAMA,11,166,34,288,1,40,104,11,16,177,3,669,4.0
Deon Jackson,57189,HB,DUKE,11,162,34,154,5,65,81,9,15,171,5,674,4.2
CJ Marable,55264,HB,COAST CAR,11,161,46,141,2,59,220,30,38,191,12,847,5.3
Javonte Williams,77803,HB,N CAROLINA,11,157,72,245,1,65,276,24,30,181,19,1168,7.4
Michael Carter,57337,HB,N CAROLINA,11,157,48,245,0,65,267,25,30,182,9,1245,7.9
Spencer Brown,57441,HB,UAB,7,156,42,321,1,73,35,5,6,161,10,739,4.7
Eric Gray,99143,HB,TENNESSEE,9,156,41,307,3,33,262,31,33,187,4,758,4.9
Asher O'Hara,78529,QB,MIDDLE TN,9,156,51,224,5,31,6,1,1,123,7,704,4.5
Khalil Herbert,41668,HB,VA TECH,10,155,49,337,1,76,179,10,14,165,8,1172,7.6
Jerrion Ealy,97163,HB,OLE MISS,9,147,49,226,0,39,155,15,18,162,9,745,5.1
Camerun Peoples,83607,HB,APP STATE,10,146,47,108,4,63,15,3,4,149,7,807,5.5
Travis Etienne Jr.,57185,HB,CLEMSON,10,146,42,140,2,72,512,41,48,187,12,767,5.3
Vincent Davis,99593,HB,PITTSBURGH,11,143,35,268,1,74,158,24,28,167,6,655,4.6
Destin Coates,83668,HB,GA STATE,8,143,31,175,5,35,62,13,20,156,6,612,4.3
Tyler Goodson,101659,HB,IOWA,8,142,37,192,1,80,146,16,22,158,7,772,5.4
Ricky Person Jr.,77725,HB,NC STATE,11,142,33,248,2,40,126,16,17,158,4,639,4.5
Tank Bigsby,123974,HB,AUBURN,10,138,50,115,1,42,84,11,13,149,5,834,6.0
Sean Tucker,123056,HB,SYRACUSE,9,137,30,304,1,40,113,8,18,145,4,626,4.6
Gerrid Doaks,40903,HB,CINCINNATI,8,137,39,138,2,72,202,14,18,151,7,660,4.8
Stevie Scott III,83680,HB,INDIANA,7,137,34,190,1,22,52,11,15,148,8,462,3.4
Gaej Walker,42531,HB,W KENTUCKY,11,135,33,346,3,54,57,7,13,142,2,607,4.5
Trelon Smith,57135,HB,ARKANSAS,10,134,36,111,4,83,159,22,32,156,5,710,5.3
Jermar Jefferson,83740,HB,OREGON ST,6,133,34,265,3,82,67,9,11,142,7,858,6.5
Zamir White,83665,HB,GEORGIA,9,133,46,173,0,75,32,5,7,138,10,740,5.6
Chuba Hubbard,57373,HB,OKLA STATE,7,133,35,262,2,32,52,8,10,141,5,627,4.7
Demetric Felton Jr.,40568,HB,UCLA,6,132,42,324,1,40,159,22,26,154,5,668,5.1
Javian Hawkins,77704,HB,LOUISVILLE,7,131,36,210,3,90,127,16,18,147,7,811,6.2
Jamal Jones,33919,HB,ARK STATE,11,131,28,113,3,25,89,17,23,148,3,578,4.4
Bam Knight,97432,HB,NC STATE,11,131,37,248,2,36,136,20,24,151,9,736,5.6
Greg McCrae,55384,HB,UCF,9,131,43,323,1,54,85,12,17,143,9,681,5.2
Nelson Smith,57075,FB,NAVY,10,129,40,237,1,32,0,0,0,129,8,646,5.0
Israel Tucker,40566,HB,LA TECH,9,129,33,208,0,31,51,9,12,138,4,525,4.1
Shai Werts,40384,QB,GA SOUTHRN,10,129,38,174,10,41,0,0,0,106,8,691,5.4
Jarek Broussard,83656,HB,COLORADO,5,129,30,143,1,75,52,7,11,136,3,809,6.3
Rahjai Harris,123814,HB,E CAROLINA,8,128,30,156,6,80,34,6,8,134,4,623,4.9
David Bailey,77792,HB,BOSTON COL,10,127,36,121,1,34,62,8,10,135,7,499,3.9
Austin Jones,97183,HB,STANFORD,6,126,32,300,2,21,146,21,24,147,9,550,4.4
Rodrigues Clark,101068,HB,MEMPHIS,8,125,27,218,1,28,41,8,12,133,2,508,4.1
Tyhier Tyler,82083,QB,ARMY,6,123,27,114,8,37,0,0,0,121,2,509,4.1
