player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Brian Robinson,57120,HB,ALABAMA,3,64,18,103,0,23,44,6,6,70,0,327,5.1
Jay Ducker,130550,HB,N ILLINOIS,2,52,14,254,0,56,15,1,1,53,0,294,5.7
Calvin Tyler Jr.,52133,HB,UTAH ST,2,43,10,329,2,23,7,1,2,44,2,184,4.3
Abram Smith,57158,HB,BAYLOR,2,42,9,118,0,49,6,1,1,43,0,235,5.6
Tavion Thomas,77732,HB,UTAH,2,36,10,328,1,13,-4,1,1,37,3,130,3.6
Greg Bell,83716,HB,S DIEGO ST,2,36,9,284,0,16,0,0,0,36,1,153,4.3
Sincere McCormick,97119,HB,UTSA,1,36,11,331,0,65,35,3,3,39,3,204,5.7
Isaiah Bowser,66123,HB,UCF,1,35,9,323,0,36,0,0,0,35,2,155,4.4
Jerome Ford,83601,HB,CINCINNATI,2,33,7,138,0,79,28,4,5,37,2,264,8.0
Travis Dye,83738,HB,OREGON,2,33,16,264,0,33,55,9,10,42,2,235,7.1
Emani Bailey,122630,HB,LA LAFAYET,2,32,13,207,0,35,55,5,6,37,3,209,6.5
Zamir White,83665,HB,GEORGIA,3,32,12,173,0,19,27,4,4,36,1,165,5.2
Kevin Harris,99141,HB,S CAROLINA,1,31,10,289,0,38,0,0,0,31,1,182,5.9
Marquez Cooper,130489,HB,KENT STATE,2,30,8,201,0,47,5,1,1,31,0,130,4.3
Spencer Sanders,77660,QB,OKLA STATE,2,30,14,262,3,26,6,1,1,20,0,181,6.0
Lew Nichols,97187,HB,C MICHIGAN,1,29,5,134,0,38,38,2,5,31,1,139,4.8
Braelon Allen,145159,HB,WISCONSIN,1,29,6,349,0,43,2,2,2,31,0,159,5.5
Jordan Mims,57209,HB,FRESNO ST,1,29,11,169,0,38,71,5,5,34,2,165,5.7
Dewayne McBride,121495,HB,UAB,1,28,9,321,0,64,0,0,0,28,1,183,6.5
Gavin Williams,129488,HB,IOWA,2,28,4,192,0,19,13,3,4,31,0,154,5.5
Alton McCaskill,144253,HB,HOUSTON,2,27,5,182,1,20,15,4,4,31,0,117,4.3
Clayton Tune,77652,QB,HOUSTON,2,27,6,182,1,24,0,0,1,15,0,107,4.0
Shamari Brooks,61855,HB,TULSA,1,26,8,320,0,18,10,1,1,27,1,107,4.1
Montrell Johnson Jr.,147141,HB,LA LAFAYET,2,26,3,207,0,11,3,1,1,27,1,64,2.5
Antario Brown,145868,HB,N ILLINOIS,2,26,10,254,0,34,0,0,0,26,1,180,6.9
Jabari Small,124298,HB,TENNESSEE,1,26,8,307,0,60,2,1,1,27,1,180,6.9
Hassan Haskins,83701,HB,MICHIGAN,2,26,7,222,0,19,37,5,5,31,2,95,3.7
James Cook,83666,HB,GEORGIA,3,23,6,173,0,67,155,10,11,33,0,147,6.4
Vincent Davis,99593,HB,PITTSBURGH,2,23,5,268,0,12,16,3,4,26,0,82,3.6
Trey Sanders,97433,HB,ALABAMA,3,22,7,103,0,18,4,2,3,24,0,93,4.2
Brenden Brady,83795,HB,UTSA,2,21,5,331,0,27,17,3,3,24,2,99,4.7
Jakobi Buchanan,102884,FB,ARMY,1,21,8,114,0,10,0,0,0,21,1,68,3.2
Ky Thomas,129669,HB,MINNESOTA,1,21,7,225,1,50,0,0,0,21,1,140,6.7
Camerun Peoples,83607,HB,APP STATE,2,21,7,108,1,45,0,0,0,21,1,162,7.7
Deuce Vaughn,122624,HB,KANSAS ST,1,21,7,199,0,48,-3,2,2,23,3,146,7.0
Dustin Crum,60418,QB,KENT STATE,2,21,11,201,0,37,0,0,0,10,1,182,8.7
Brad Roberts,125398,FB,AIR FORCE,1,20,4,101,0,10,0,0,0,20,0,77,3.9
Rasheen Ali,121717,HB,MARSHALL,1,20,8,214,1,63,5,1,2,21,3,160,8.0
Chris Rodriguez Jr.,83689,HB,KENTUCKY,1,20,7,202,0,13,5,1,1,21,1,107,5.4
Jaylen Warren,98692,HB,OKLA STATE,2,19,4,262,0,20,34,6,7,25,0,82,4.3
Bucky Irving,144970,HB,MINNESOTA,1,19,6,225,0,24,0,0,0,19,0,129,6.8
Xazavian Valladay,57490,HB,WYOMING,1,19,2,351,0,9,0,0,0,19,1,86,4.5
Cameron Rising,77663,QB,UTAH,2,18,7,328,2,62,0,0,0,14,1,169,9.4
Will Shipley,144138,HB,CLEMSON,1,18,2,140,0,12,53,5,8,23,1,61,3.4
Levi Lewis,60428,QB,LA LAFAYET,2,18,5,207,0,56,0,0,0,16,1,148,8.2
Tyler Goodson,101659,HB,IOWA,1,18,1,192,0,10,28,6,7,24,0,50,2.8
Christian Beal-Smith,55433,HB,WAKE,2,18,3,339,0,16,6,1,1,19,0,47,2.6
B.J. Baylor,52122,HB,OREGON ST,1,18,5,265,0,20,22,2,2,20,0,78,4.3
Rocky Lombardi,60452,QB,N ILLINOIS,2,18,12,254,3,28,0,0,0,16,4,75,4.2
Dezmon Jackson,98690,HB,OKLA STATE,1,18,2,262,0,10,39,7,7,25,0,33,1.8
Bryant Koback,57266,HB,TOLEDO,1,18,8,316,0,30,1,1,3,19,0,126,7.0
Nakia Watson,83807,HB,WASH STATE,1,17,2,341,0,40,0,0,1,17,0,62,3.6
Zander Horvath,57384,HB,PURDUE,1,17,2,273,0,11,21,2,2,19,0,57,3.4
TreVeyon Henderson,145059,HB,OHIO STATE,1,17,4,260,0,13,27,4,5,21,0,83,4.9
Trey Cooley,144150,HB,LOUISVILLE,1,17,6,210,0,22,28,2,3,19,1,97,5.7
Jaylen Wright,146934,HB,TENNESSEE,1,17,3,307,0,12,0,0,0,17,0,54,3.2
Hendon Hooker,60593,QB,TENNESSEE,1,17,6,307,4,10,0,0,0,4,0,75,4.4
Jaxson Kincaide,40415,HB,W MICHIGAN,1,17,8,347,0,12,0,0,0,17,2,105,6.2
Haaziq Daniels,125263,QB,AIR FORCE,1,16,5,101,0,10,0,0,0,16,2,37,2.3
KJ Jefferson,99129,QB,ARKANSAS,1,16,7,111,1,34,0,0,0,13,1,134,8.4
Levi Williams,98365,QB,WYOMING,1,16,8,351,2,80,0,0,0,12,4,213,13.3
Tahj Brooks,123133,HB,TEXAS TECH,1,16,7,315,0,19,0,0,0,16,1,107,6.7
Tank Bigsby,123974,HB,AUBURN,1,16,2,115,0,32,68,5,6,21,0,96,6.0
Clint Ratkovich,34083,HB,N ILLINOIS,2,16,5,254,0,7,11,2,2,18,2,37,2.3
Christian Turner,83703,HB,WAKE,2,16,4,339,0,16,0,0,0,16,0,77,4.8
Tucker Gregg,83669,HB,GA STATE,1,16,2,175,0,14,0,0,0,16,0,54,3.4
Frank Peasant,121817,HB,MIDDLE TN,1,15,5,224,0,25,0,0,0,15,1,61,4.1
Jordon Simmons,129634,HB,MICH STATE,1,15,3,223,1,10,5,1,1,16,0,28,1.9
Daetrich Harrington,57129,HB,APP STATE,2,15,4,108,0,15,5,1,3,16,0,86,5.7
Carson Steele,145632,HB,BALL ST,1,15,2,117,0,15,40,3,3,18,0,62,4.1
Nate Noel,122249,HB,APP STATE,2,15,2,108,0,47,0,0,0,15,0,92,6.1
SaRodorick Thompson,77777,HB,TEXAS TECH,1,14,4,315,0,33,0,0,0,14,1,80,5.7
Kennedy Brooks,57371,HB,OKLAHOMA,1,14,6,261,0,40,24,3,3,17,3,142,10.1
Blake Watson,84363,HB,DOMINION,1,14,5,263,0,22,14,2,3,16,1,77,5.5
Corey Kiner,86392,HB,LSU,1,14,3,211,0,11,0,0,0,14,0,53,3.8
Frank Harris,60586,QB,UTSA,2,14,5,331,1,24,10,1,1,11,1,94,6.7
Sean Tyler,97124,HB,W MICHIGAN,1,14,4,347,0,70,7,1,1,15,0,146,10.4
Jirehl Brock,97291,HB,IOWA STATE,1,14,2,193,0,14,21,3,3,17,0,42,3.0
Jayden Daniels,97993,QB,ARIZONA ST,1,14,7,110,0,16,0,0,0,6,0,80,5.7
Israel Abanikanda,122999,HB,PITTSBURGH,2,14,4,268,0,16,-3,1,1,15,2,71,5.1
Dawson Downing,42539,HB,MISSOURI,1,14,6,229,1,12,31,3,4,17,0,66,4.7
