player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Zakhari Franklin,97620,WR,UTSA,2,75.0,10,331,0,39,18,24,4,174,9.7
Sam Pinckney,84197,WR,COAST CAR,2,68.2,8,141,0,34,15,22,1,160,10.7
Kobe Hudson,123989,WR,UCF,2,42.9,7,323,0,49,9,21,2,161,17.9
Malik Nabers,146759,WR,LSU,2,70.0,10,211,0,75,14,20,2,291,20.8
Quentin Johnston,123085,WR,TCU,3,57.9,5,305,1,76,11,19,1,303,27.5
Derius Davis,78196,WR,TCU,3,50.0,4,305,0,60,9,18,0,138,15.3
Justin Marshall,61394,WR,BUFFALO,1,61.1,8,126,0,32,11,18,1,127,11.5
Kade Warner,61494,WR,KANSAS ST,2,55.6,4,199,0,13,10,18,0,70,7.0
Brock Bowers,146715,TE,GEORGIA,3,94.4,15,173,0,35,17,18,2,297,17.5
A.T. Perry,77975,WR,WAKE,1,64.7,6,339,0,28,11,17,0,116,10.5
Ronnie Bell,84288,WR,MICHIGAN,2,64.7,7,222,0,44,11,17,2,202,18.4
Caullin Lacy,121426,WR,S ALABAMA,1,43.8,3,288,0,21,7,16,0,57,8.1
Joseph Ngata,98214,WR,CLEMSON,2,81.3,8,140,0,19,13,16,0,130,10.0
Tahj Washington,97288,WR,USC,2,68.8,8,326,0,59,11,16,1,202,18.4
Nikko Remigio,84150,WR,FRESNO ST,2,62.5,6,169,0,39,10,16,1,152,15.2
Ladd McConkey,124030,WR,GEORGIA,3,75.0,9,173,0,37,12,16,3,156,13.0
Charlie Jones,55038,WR,PURDUE,1,81.3,10,273,0,32,13,16,0,162,12.5
Jaylen Dixon,61775,WR,UTAH,2,80.0,6,328,1,28,12,15,2,114,9.5
Luke Grimm,122561,WR,KANSAS,1,66.7,6,198,0,45,10,15,1,167,16.7
Jaylin Lane,121811,WR,MIDDLE TN,1,66.7,5,224,0,30,10,15,1,111,11.1
Barion Brown,163779,WR,KENTUCKY,1,40.0,2,202,0,10,6,15,0,21,3.5
TJ Sheffield,101741,WR,PURDUE,2,73.3,6,273,0,26,11,15,1,110,10.0
Latrell Caples,128119,WR,BOISE ST,2,71.4,5,120,0,32,10,14,0,111,11.1
Tyson Mobley,122350,WR,COAST CAR,2,78.6,6,141,0,23,11,14,1,121,11.0
LeQuint Allen,158290,HB,SYRACUSE,1,78.6,3,304,1,12,11,14,0,60,5.5
Mason Taylor,157122,TE,LSU,2,78.6,7,211,0,32,11,14,1,151,13.7
Malachi Corley,66272,WR,W KENTUCKY,1,78.6,6,346,0,39,11,14,2,114,10.4
Jalen McMillan,131905,WR,WASHINGTON,1,57.1,5,340,0,14,8,14,1,58,7.3
