player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Will Rogers,124184,QB,MISS STATE,12,570,67.2,383,195,227,6,100.6,24,34,3694,6.5
Kyle Vantrease,55029,QB,GA SOUTHRN,12,559,61.7,345,184,174,15,86.4,6,25,3918,7.0
Austin Reed,111760,QB,W KENTUCKY,13,550,64.5,355,193,346,10,102.3,13,36,4247,7.7
Michael Penix Jr.,82134,QB,WASHINGTON,12,503,65.6,330,206,340,7,106.2,4,29,4354,8.7
John Paddock,77689,QB,BALL ST,12,483,59.8,289,144,117,14,76.0,13,18,2743,5.7
Cam Ward,133244,QB,WASH STATE,12,469,63.8,299,170,341,8,91.9,40,23,3091,6.6
Clayton Tune,77652,QB,HOUSTON,12,469,67.2,315,209,182,10,109.5,23,37,3836,8.2
Hunter Dekkers,122511,QB,IOWA STATE,12,458,65.9,302,160,193,14,85.8,27,19,3044,6.6
Jack Plummer,83543,QB,CAL,12,453,62.3,282,149,130,9,89.6,31,21,3095,6.8
Aidan O'Connell,60516,QB,PURDUE,11,451,63.4,286,152,273,11,89.8,19,22,3117,6.9
Layne Hatcher,82068,QB,TEXAS ST,12,447,61.7,276,119,314,10,83.4,27,19,2680,6.0
E.J. Warner,156185,QB,TEMPLE,11,443,60.5,268,148,306,12,83.2,7,18,3025,6.8
Drake Maye,143969,QB,N CAROLINA,12,439,67.2,295,205,245,5,115.4,38,34,3819,8.7
Jayden de Laura,131928,QB,ARIZONA,12,438,62.1,272,192,109,13,95.5,27,25,3685,8.4
Holton Ahlers,77651,QB,E CAROLINA,12,435,66.7,290,158,156,5,103.0,15,23,3399,7.8
Tanner McKee,131770,QB,STANFORD,12,433,61.2,265,145,300,8,83.8,40,13,2949,6.8
Connor Bazelak,99135,QB,INDIANA,10,428,54.9,235,112,190,10,70.7,23,13,2312,5.4
Cole Snyder,97617,QB,BUFFALO,12,425,59.1,251,137,126,8,83.9,31,17,2763,6.5
Seth Henigan,144267,QB,MEMPHIS,12,424,63.7,270,161,218,8,94.6,28,19,3296,7.8
Chase Cunningham,78533,QB,MIDDLE TN,11,419,66.8,280,136,224,9,92.9,22,19,2910,6.9
Hayden Wolff,98362,QB,DOMINION,12,411,56.9,234,128,263,6,87.5,36,18,2904,7.1
Caleb Williams,144622,QB,USC,12,409,65.8,269,183,326,3,119.4,23,34,3717,9.1
Tanner Mordecai,77656,QB,SMU,11,402,63.9,257,154,287,9,105.6,17,31,3268,8.1
Brayden Schager,146078,QB,HAWAII,12,402,55.0,221,113,180,10,72.6,14,13,2348,5.8
Frank Harris,60586,QB,UTSA,12,397,69.0,274,189,331,7,112.0,19,27,3531,8.9
Sam Hartman,77618,QB,WAKE,11,393,62.8,247,177,339,11,108.7,34,35,3420,8.7
Payton Thorne,101629,QB,MICH STATE,12,390,62.1,242,134,223,11,86.9,19,19,2679,6.9
Chevan Cordeiro,75886,QB,S JOSE ST,11,382,61.0,233,150,285,4,97.4,41,20,2879,7.5
