player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Xavier Hutchinson,122518,WR,IOWA STATE,12,66.5,62,193,1,38,107,161,6,1171,10.9
Rashee Rice,97605,WR,SMU,12,61.5,56,287,3,75,96,156,10,1344,14.0
Tank Dell,78874,WR,HOUSTON,12,72.3,66,182,2,63,102,141,15,1355,13.3
Charlie Jones,55038,WR,PURDUE,12,70.3,53,273,1,60,97,138,12,1199,12.4
Jayshon Jackson,78041,WR,BALL ST,12,58.9,44,117,0,43,76,129,3,820,10.8
Zay Flowers,97268,WR,BOSTON COL,12,62.9,49,121,2,69,78,124,12,1077,13.8
Malachi Corley,66272,WR,W KENTUCKY,13,73.2,49,346,0,76,90,123,9,1168,13.0
Tyrin Smith,145487,WR,UTEP,12,58.2,45,330,1,74,71,122,7,1047,14.7
Jacob Cowing,100894,WR,ARIZONA,12,69.7,50,109,1,39,85,122,7,1034,12.2
Isaiah Winstead,91115,WR,E CAROLINA,12,67.8,50,156,2,67,82,121,4,1013,12.4
Khaleb Hood,97159,WR,GA SOUTHRN,12,69.8,41,174,1,46,81,116,3,892,11.0
Will Sheppard,124360,WR,VANDERBILT,12,51.7,41,333,2,31,60,116,9,768,12.8
Corey Crooms Jr.,97276,WR,W MICHIGAN,12,49.6,36,347,0,75,57,115,5,818,14.4
A.T. Perry,77975,WR,WAKE,12,62.5,48,339,0,68,70,112,11,984,14.1
Jose Barbon,78032,WR,TEMPLE,12,63.1,41,306,0,78,70,111,2,892,12.7
Trey Palmer,99248,WR,NEBRASKA,12,64.5,40,238,1,87,71,110,9,1043,14.7
Shocky Jacques-Louis,77960,WR,AKRON,12,67.3,45,102,1,41,74,110,2,917,12.4
Keylon Stokes,65080,WR,TULSA,12,69.1,48,320,1,76,76,110,8,1224,16.1
Tory Horton,128232,WR,COLO STATE,12,65.1,38,144,1,69,71,109,8,1131,15.9
Jason Brownlee,121451,WR,SO MISS,12,48.1,37,296,1,76,52,108,7,819,15.8
Brian Cobbs,84285,WR,UTAH ST,12,64.8,40,329,0,44,70,108,4,844,12.1
Daniel George,84378,WR,AKRON,12,62.0,37,102,1,43,67,108,2,784,11.7
Marvin Harrison Jr.,145056,WR,OHIO STATE,12,66.7,56,260,0,58,72,108,12,1157,16.1
Zakhari Franklin,97620,WR,UTSA,12,70.1,52,331,0,43,75,107,11,954,12.7
Grant DuBose,111276,WR,CHARLOTTE,12,59.4,43,136,0,52,63,106,9,793,12.6
Bryce Ford-Wheaton,78127,WR,W VIRGINIA,12,59.0,36,343,0,67,62,105,7,675,10.9
Jalen McMillan,131905,WR,WASHINGTON,12,68.3,49,340,0,84,71,104,8,1040,14.6
Josh Downs,122832,WR,N CAROLINA,10,79.8,49,245,1,43,83,104,11,929,11.2
Jeremy Singleton,61289,WR,GA SOUTHRN,12,64.1,31,174,0,65,66,103,2,714,10.8
Tyler Hudson,102567,WR,LOUISVILLE,12,67.6,47,210,1,54,69,102,2,1034,15.0
J. Michael Sturdivant,146288,WR,CAL,12,63.7,36,130,0,48,65,102,7,755,11.6
Tre Harris,122676,WR,LA TECH,12,62.7,37,208,1,64,64,102,10,925,14.5
Malik Washington,97108,WR,NWESTERN,12,64.4,31,256,2,49,65,101,1,701,10.8
Michael Mayer,122906,TE,NOTRE DAME,12,66.3,44,258,1,37,67,101,9,809,12.1
Derwin Burgess Jr.,147111,WR,GA SOUTHRN,10,57.4,39,174,0,53,58,101,7,717,12.4
LaJohntay Wester,123616,WR,FAU,12,61.4,33,165,1,42,62,101,8,718,11.6
Mac Hippenhammer,61591,WR,MIAMI OH,12,53.5,34,221,0,58,54,101,8,744,13.8
Elijhah Badger,131603,WR,ARIZONA ST,12,70.0,41,110,1,39,70,100,7,863,12.3
Rome Odunze,73774,WR,WASHINGTON,11,70.0,49,340,0,61,70,100,7,1088,15.5
Jalen Moreno-Cropper,97273,WR,FRESNO ST,12,74.0,42,169,0,75,74,100,5,987,13.3
Joshua Cephus,98095,WR,UTSA,12,75.0,42,331,1,65,75,100,6,889,11.9
Xavier Worthy,144718,WR,TEXAS,12,52.5,32,311,1,46,52,99,8,673,12.9
Evan Stewart,158674,WR,TEXAS A&M,10,53.5,29,312,1,43,53,99,2,643,12.1
Dorian Singer,146243,WR,ARIZONA,12,67.3,45,109,1,73,66,98,6,1105,16.7
Smoke Harris,78918,WR,LA TECH,12,67.3,26,208,1,74,66,98,5,620,9.4
Elijah Cooks,61501,WR,S JOSE ST,11,65.3,44,285,0,52,64,98,10,993,15.5
Emeka Egbuka,145055,WR,OHIO STATE,12,68.0,46,260,0,69,66,97,9,1039,15.7
Jalen Wayne,61640,WR,S ALABAMA,12,56.7,41,288,0,64,55,97,9,790,14.4
Quian Williams,61237,WR,BUFFALO,12,60.0,37,126,1,59,57,95,5,637,11.2
Devontez Walker,145773,WR,KENT STATE,12,61.1,41,201,1,56,58,95,11,921,15.9
Daewood Davis,61584,WR,W KENTUCKY,12,66.3,40,346,0,62,63,95,7,863,13.7
Ryan O'Keefe,101139,WR,UCF,12,71.6,31,323,0,68,68,95,5,713,10.5
Jamari Thrash,97399,WR,GA STATE,12,66.0,45,175,0,75,62,94,7,1123,18.1
JuanCarlos Santana,78056,WR,TULSA,12,56.4,34,320,1,59,53,94,7,859,16.2
Jaylen Hall,61825,WR,W KENTUCKY,13,61.7,31,346,1,52,58,94,5,725,12.5
Xavier Weaver,101130,WR,USF,9,57.0,36,327,2,63,53,93,6,716,13.5
Isaiah Williams,97156,WR,ILLINOIS,12,78.3,31,187,2,63,72,92,5,603,8.4
Justin Marshall,61394,WR,BUFFALO,12,57.6,31,126,0,69,53,92,8,710,13.4
Kris Thornton,61795,WR,JAMES MAD,11,65.2,39,197,0,54,60,92,7,1011,16.9
Reynaldo Flores,83794,WR,UTEP,12,53.8,33,330,0,38,49,91,1,538,11.0
B.J. Casteel,61133,WR,NEVADA,12,52.7,23,239,0,75,48,91,4,585,12.2
Elijah Spencer,145575,WR,CHARLOTTE,12,63.3,39,136,1,60,57,90,9,928,16.3
Alex Adams,124085,WR,AKRON,11,70.0,40,102,0,80,63,90,9,855,13.6
Jalin Hyatt,124282,WR,TENNESSEE,12,75.3,37,307,0,78,67,89,15,1267,18.9
Ali Jennings III,145344,WR,DOMINION,9,61.4,42,263,1,77,54,88,9,959,17.8
Tyler Scott,123578,WR,CINCINNATI,11,62.5,34,138,0,76,55,88,9,904,16.4
Sam Pinckney,84197,WR,COAST CAR,11,63.6,34,141,1,48,56,88,2,836,14.9
Keon Coleman,144949,WR,MICH STATE,12,65.9,37,223,0,51,58,88,7,798,13.8
Jeremiah Hunter,131650,WR,CAL,11,69.0,42,130,1,58,60,87,5,965,16.1
Dalton Kincaid,91791,TE,UTAH,11,75.9,46,328,0,37,66,87,8,850,12.9
Jaylin Noel,125155,WR,IOWA STATE,12,69.8,31,193,1,54,60,86,3,572,9.5
Javon Baker,123904,WR,UCF,12,58.1,35,323,0,53,50,86,5,710,14.2
Sam Wiglusz,88315,WR,OHIO,12,76.7,37,259,0,75,66,86,11,830,12.6
Tyrese Chambers,109628,WR,FIU,10,58.8,31,166,0,36,50,85,4,535,10.7
Marvin Mims Jr.,122937,WR,OKLAHOMA,12,61.9,36,261,1,77,52,84,6,1005,19.3
Jayden Reed,78171,WR,MICH STATE,11,65.5,28,223,0,35,55,84,5,636,11.6
Jared Wayne,99691,WR,PITTSBURGH,11,65.5,42,268,1,66,55,84,5,1012,18.4
Michael Jefferson,87665,WR,LA LAFAYET,12,61.4,31,207,2,63,51,83,7,810,15.9
Jalon Calhoun,97272,WR,DUKE,11,67.5,31,154,1,51,56,83,4,801,14.3
Antwane Wells Jr.,138470,WR,S CAROLINA,12,77.1,34,289,3,72,64,83,6,911,14.2
Carlos Carriere,61413,WR,C MICHIGAN,11,55.4,29,134,2,39,46,83,2,529,11.5
Sam LaPorta,101690,TE,IOWA,11,63.9,30,192,1,58,53,83,1,592,11.2
Elijah Higgins,98027,WR,STANFORD,12,72.0,31,300,2,51,59,82,2,704,11.9
C.J. Johnson,104187,WR,E CAROLINA,12,73.2,38,156,1,74,60,82,9,933,15.6
Cam Camper,156414,WR,INDIANA,7,54.9,27,190,1,40,45,82,2,560,12.4
Kaden Prather,144780,WR,W VIRGINIA,11,63.4,32,343,1,25,52,82,3,501,9.6
Thayer Thomas,61515,WR,NC STATE,12,64.6,31,248,0,75,53,82,4,595,11.2
Jordan Moore,143865,WR,DUKE,12,69.5,27,154,0,52,57,82,5,643,11.3
Devaughn Vele,100637,WR,UTAH,12,61.7,36,328,1,28,50,81,5,595,11.9
Brennan Presley,122982,WR,OKLA STATE,12,75.3,36,262,1,55,61,81,2,737,12.1
Odieu Hiliare,120861,WR,BOWL GREEN,12,66.7,24,122,0,59,54,81,6,704,13.0
Tetairoa McMillan,158735,WR,ARIZONA,12,48.1,34,109,0,47,39,81,8,702,18.0
Ricky White,129639,WR,UNLV,12,63.8,24,325,2,72,51,80,4,622,12.2
Nikko Remigio,84150,WR,FRESNO ST,12,80.0,40,169,2,37,64,80,5,700,10.9
Oronde Gadsden II,144046,WR,SYRACUSE,12,67.5,47,304,0,46,54,80,6,888,16.4
Tre Tucker,101106,WR,CINCINNATI,12,66.3,32,138,1,55,53,80,3,680,12.8
Malik Nabers,146759,WR,LSU,12,72.5,40,211,1,60,58,80,1,726,12.5
Ronnie Bell,84288,WR,MICHIGAN,12,63.8,31,222,2,49,51,80,2,690,13.5
JP Richardson,144650,WR,OKLA STATE,12,59.5,24,262,0,83,47,79,4,487,10.4
Luke McCaffrey,101634,WR,RICE,10,64.6,32,275,0,66,51,79,6,656,12.9
Nate McCollum,122487,WR,GA TECH,11,75.9,35,176,1,56,60,79,3,654,10.9
Jonathan Mingo,97774,WR,OLE MISS,12,60.8,33,226,1,72,48,79,5,808,16.8
De'Zhaun Stribling,146508,WR,WASH STATE,12,64.6,31,341,0,38,51,79,5,602,11.8
Tre'Shaun Harrison,77958,WR,OREGON ST,12,67.9,27,265,2,63,53,78,4,604,11.4
Jaylin Lane,121811,WR,MIDDLE TN,10,75.6,38,224,0,89,59,78,4,829,14.1
Quentin Johnston,123085,WR,TCU,11,62.8,33,305,0,55,49,78,5,764,15.6
Jake Bobo,77997,WR,UCLA,12,69.2,43,324,0,40,54,78,7,789,14.6
Sam James,78123,WR,W VIRGINIA,12,59.7,29,343,0,71,46,77,6,745,16.2
Devin Voisin,97427,WR,S ALABAMA,12,68.8,32,288,1,46,53,77,4,718,13.5
Keytaon Thompson,60457,WR,VIRGINIA,8,68.8,27,335,0,45,53,77,0,579,10.9
Tyrone Howell,144588,WR,LA MONROE,12,64.9,33,209,0,89,50,77,6,855,17.1
De'Corian Clark,100892,WR,UTSA,9,68.8,36,331,0,69,53,77,8,755,14.2
Cole Tucker,61537,WR,N ILLINOIS,11,58.4,28,254,0,70,45,77,4,632,14.0
Dominic Lovett,146872,WR,MISSOURI,12,73.7,31,229,0,79,56,76,3,828,14.8
Dalevon Campbell,101711,WR,NEVADA,12,52.6,19,239,1,73,40,76,1,472,11.8
Jadon Haselwood,97791,WR,ARKANSAS,12,77.6,29,111,1,68,59,76,3,704,11.9
Malik Heath,124173,WR,OLE MISS,12,68.4,35,226,0,53,52,76,4,834,16.0
Troy Franklin,146567,WR,OREGON,12,73.7,38,264,0,67,56,76,8,867,15.5
Yo'Heinz Tyler,78181,WR,BALL ST,11,64.5,27,117,1,23,49,76,1,455,9.3
Dante Cephas,97665,WR,KENT STATE,9,63.2,38,201,1,54,48,76,3,746,15.5
Michael Mathison,100275,WR,W KENTUCKY,13,66.7,24,346,0,55,50,75,3,602,12.0
Payne Durham,84037,TE,PURDUE,12,72.0,32,273,0,56,54,75,8,550,10.2
Jerjuan Newton,97308,WR,TOLEDO,12,55.4,26,316,2,43,41,74,9,682,16.6
Terrell Vaughn,157634,WR,UTAH ST,12,68.9,23,329,0,75,51,74,5,581,11.4
Konata Mumpfield,145598,WR,PITTSBURGH,11,71.2,24,268,1,29,52,73,1,476,9.2
Javon Ivory,101116,WR,MEMPHIS,12,64.4,28,218,0,68,47,73,2,585,12.4
Rufus Harvey,124172,WR,MISS STATE,12,69.4,29,227,0,36,50,72,3,473,9.5
Dontayvion Wicks,99711,WR,VIRGINIA,8,41.7,19,335,1,44,30,72,2,430,14.3
Ashtyn Hawkins,147222,WR,TEXAS ST,9,77.8,24,314,0,74,56,72,7,587,10.5
