player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Cheikhsaliou Fall,54240,ED,CAL,1,2,0,130,0,0,0,0,0
Alex Howard,62494,LB,DUKE,1,0,0,154,2,0,1,0,7
Barry Brown,62724,LB,COAST CAR,1,0,0,141,0,0,0,0,5
Ty Hamilton,66298,DI,OHIO STATE,3,2,0,260,1,0,0,2,3
Korey Foreman,70831,ED,FRESNO ST,1,0,0,169,1,0,0,0,4
Tuasivi Nomura,70879,LB,FRESNO ST,1,1,0,169,0,0,0,0,12
Tate Romney,70946,LB,ARIZONA ST,1,0,0,110,0,0,0,0,0
Keyon Ware-Hudson,71322,DI,OREGON,2,0,0,264,0,0,0,0,0
Domani Jackson,71370,CB,ALABAMA,1,0,0,103,0,0,0,0,2
Akili Arnold,71406,S,USC,1,2,0,326,0,1,0,0,3
Easton Mascarenas-Arnold,71410,LB,USC,1,1,0,326,0,0,1,0,5
Mavin Anderson,71443,WR,CAL,1,0,0,130,0,0,0,0,0
Silas Bolden,71674,WR,TEXAS,2,0,0,311,0,0,0,0,0
Sheldon Newton,71957,DI,BOISE ST,2,0,0,120,0,0,0,1,2
Kamren Fabiculanan,72332,S,WASHINGTON,1,1,0,340,0,0,0,0,2
Raider Damuni,72338,S,BYU,1,0,0,128,0,0,0,1,1
Lavario Wiley,72769,CB,UNLV,2,0,0,325,0,0,0,0,4
Keith Conley Jr.,72821,ED,UNLV,2,2,0,325,0,0,0,0,0
Marco Notarainni,73389,LB,BOISE ST,2,3,0,120,0,0,0,3,2
Treven Ma'ae,74498,DI,BAYLOR,1,3,0,118,0,0,0,0,2
Jaylen Johnson,75046,S,OHIO,1,0,0,259,0,0,0,0,0
Silas Walters,75263,S,MIAMI OH,2,4,0,221,0,0,1,0,8
Dennis Briggs Jr.,76792,DI,ILLINOIS,1,1,0,187,0,0,0,1,0
Antonio Colclough,76813,ED,BUFFALO,1,0,0,126,0,0,0,0,0
Daniel Bolden,77252,LB,TOLEDO,1,3,0,316,0,0,0,1,2
Jace Ruder,77680,LB,N TEXAS,1,0,0,251,0,0,0,0,0
Tory Spears,78134,S,TEXAS ST,1,0,0,314,0,0,0,0,0
DaShon Bussell,78169,CB,W MICHIGAN,1,0,0,347,0,0,0,0,1
Marque Collins,78999,CB,BYU,1,1,0,128,0,0,1,0,1
Jayden McDonald,81249,LB,UCONN,1,1,0,146,1,0,0,0,8
Jermayne Lole,82212,DI,TEXAS,3,3,0,311,0,0,0,0,3
Ezekiel Holmes,82281,DI,ILLINOIS,1,0,1,187,0,0,0,0,1
Maurice Strong Jr.,82408,DI,S ALABAMA,1,0,0,288,1,0,0,0,0
Raymond Scott,82560,LB,JAMES MAD,1,0,0,197,0,0,0,0,1
Dustin Johnson,83197,S,OHIO,2,6,0,259,0,0,1,0,6
Jarvis Ware,83314,CB,UNLV,2,1,0,325,0,0,1,0,3
Chris Mills,83315,CB,TEXAS ST,1,0,0,314,0,0,1,0,3
Armani-Eli Adams,83838,S,W MICHIGAN,1,0,0,347,0,0,0,0,1
Gracen Halton,85774,DI,OKLAHOMA,1,1,0,261,0,0,0,0,0
Jacob Bandes,86082,DI,WASHINGTON,1,0,0,340,1,0,0,0,5
Jairus Satele,86168,DI,FRESNO ST,1,1,0,169,0,0,0,1,0
Byron Cardwell Jr.,86353,HB,CAL,1,0,0,130,0,0,0,0,0
Rodney Robinson,86527,S,BOISE ST,2,4,0,120,1,0,0,1,4
Ozzie Nicholas,86729,LB,DUKE,1,7,0,154,0,0,0,0,4
Ceyair Wright,86877,CB,NEBRASKA,1,0,0,238,0,0,1,0,3
Dylan Brown,88453,DI,JVILLE ST,2,0,0,196,0,0,0,0,0
David Reese,90079,ED,CAL,1,1,0,130,0,0,0,0,2
Dalton Norris,90192,DI,MIAMI OH,2,0,0,221,0,0,0,0,0
Amir McDaniel,97087,CB,LA LAFAYET,2,2,0,207,0,0,0,1,5
Anthony Wilson,97220,S,W VIRGINIA,1,2,0,343,0,0,0,0,6
Brandon Crossley,97225,CB,SMU,1,0,0,287,0,0,1,0,4
Marcus Harris,97230,CB,CAL,1,0,0,130,0,0,1,0,2
Rod Heard II,97237,S,NOTRE DAME,3,1,0,258,0,0,0,1,5
Isaiah Essissima,97243,CB,COLO STATE,1,1,0,144,0,0,0,0,1
Jordan Clark,97324,CB,NOTRE DAME,3,1,0,258,0,0,2,0,6
Juan Powell,97330,CB,COAST CAR,1,2,0,141,0,0,0,0,6
AJ Williams,97343,S,COAST CAR,1,1,0,141,0,0,0,0,1
Jakeen Harris,97351,S,N CAROLINA,1,2,0,245,0,0,0,0,5
Woodi Washington,97379,CB,OKLAHOMA,1,0,0,261,0,0,0,0,0
Solomon Brown,97386,S,BUFFALO,1,1,0,126,0,0,0,0,4
Roderick Roberson,97471,S,LA TECH,1,0,0,208,1,0,0,0,0
Dallas Gamble,97483,CB,S ALABAMA,1,0,0,288,0,0,0,0,0
Dean Clark,97495,S,FRESNO ST,1,2,0,169,1,0,1,0,5
Jaden Voisin,97506,S,S ALABAMA,1,1,0,288,0,0,0,0,6
Malik Dixon-Williams,97520,S,UCONN,1,2,0,146,0,0,1,0,6
Malachi Langley,97532,LB,FRESNO ST,1,3,0,169,0,0,0,0,7
