player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Quinn Ewers,127253,QB,TEXAS,3,115,60.9,70,40,311,4,90.6,13,6,964,8.4
Drew Allar,164157,QB,PENN STATE,3,87,51.7,45,30,266,3,79.3,6,6,532,6.1
Will Howard,122599,QB,OHIO STATE,3,80,72.5,58,36,260,1,126.0,5,6,839,10.5
Riley Leonard,143862,QB,NOTRE DAME,3,79,65.8,52,27,258,2,93.2,5,4,568,7.2
Dillon Gabriel,86272,QB,OREGON,2,74,68.9,51,27,264,0,119.3,8,6,582,7.9
Rocco Becht,157567,QB,IOWA STATE,2,72,61.1,44,27,193,1,99.0,1,5,495,6.9
Caden Veltkamp,156642,QB,W KENTUCKY,2,69,62.3,43,17,346,0,95.3,6,3,443,6.4
Maddux Madsen,163379,QB,BOISE ST,2,63,65.1,41,23,120,3,77.6,3,2,462,7.3
Sam Leavitt,175465,QB,ARIZONA ST,2,62,56.5,35,20,110,1,84.0,4,3,379,6.1
Walker Eget,146170,QB,S JOSE ST,1,58,56.9,33,15,285,1,73.7,0,2,277,4.8
Parker Navarro,123758,QB,OHIO,2,56,69.6,39,27,259,1,106.9,3,3,489,8.7
Kevin Jennings,158272,QB,SMU,1,52,63.5,33,19,287,1,91.3,2,3,314,6.0
Sawyer Robertson,146839,QB,BAYLOR,1,51,58.8,30,25,118,1,92.4,1,2,445,8.7
Tucker Gleason,122475,QB,TOLEDO,1,50,52.0,26,15,316,1,78.4,1,2,336,6.7
Brett Gabbert,97404,QB,MIAMI OH,2,50,54.0,27,17,221,1,64.7,3,0,311,6.2
Tyler Huff,142567,QB,JVILLE ST,2,49,65.3,32,17,196,1,114.3,4,3,540,11.0
Connor Bazelak,99135,QB,BOWL GREEN,1,49,65.3,32,18,122,0,110.1,3,3,390,8.0
Gunner Stockton,157072,QB,GEORGIA,2,48,66.7,32,14,173,1,82.4,6,1,305,6.4
