player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Eric Weddle,3653,S,LA,4,6,0,26,0,0,0,0,13
Steve McLendon,5232,DI,TB,2,0,0,30,0,0,0,0,0
Ndamukong Suh,5527,DI,TB,2,2,1,30,2,0,0,1,4
Joe Haden,5532,CB,PIT,1,1,0,25,0,0,0,0,5
Jason Pierre-Paul,5540,ED,TB,2,0,0,30,1,0,0,1,1
Devin McCourty,5552,S,NE,1,2,0,19,0,0,0,0,6
Jerry Hughes,5556,ED,BUF,2,0,0,4,2,0,0,1,0
Corey Peters,5607,DI,ARZ,1,0,0,1,1,0,0,0,2
Von Miller,6154,ED,LA,4,1,1,26,2,0,0,4,7
J.J. Watt,6163,DI,ARZ,1,1,0,1,0,0,0,0,2
Ryan Kerrigan,6168,ED,PHI,1,0,0,24,0,0,0,2,1
Cameron Heyward,6183,DI,PIT,1,2,1,25,0,0,0,0,3
K.J. Wright,6251,LB,LV,1,1,0,23,0,0,0,0,1
Buster Skrine,6289,CB,TEN,1,0,0,31,0,0,0,0,1
Lawrence Guy Sr.,6385,DI,NE,1,2,0,19,0,0,0,0,1
Mario Addison,6558,ED,BUF,2,0,0,4,0,0,0,0,1
Fletcher Cox,7018,DI,PHI,1,0,0,24,0,0,0,0,3
Melvin Ingram III,7024,ED,KC,3,0,1,16,1,0,0,2,3
Chandler Jones,7027,ED,ARZ,1,2,0,1,0,0,0,0,7
Dont'a Hightower,7030,LB,NE,1,0,0,19,0,0,0,0,2
Whitney Mercilus,7031,ED,GB,1,0,0,12,0,0,0,0,0
Janoris Jenkins,7043,CB,TEN,1,1,0,31,0,0,1,0,1
Lavonte David,7060,LB,TB,2,0,0,30,0,0,0,0,11
Casey Hayward Jr.,7064,CB,LV,1,0,0,23,0,0,1,0,1
Travis Benjamin,7100,WR,SF,1,0,0,28,0,0,0,0,0
Mike Daniels,7132,DI,CIN,1,0,0,7,0,0,0,0,0
Rodney McLeod,7271,S,PHI,1,1,0,24,0,0,0,0,4
Michael Thomas,7279,S,CIN,2,0,0,7,0,0,0,0,0
Josh Norman,7649,CB,SF,2,0,0,28,0,0,0,0,1
Justin Bethel,7654,CB,NE,1,0,0,19,0,0,0,0,0
Star Lotulelei,7795,DI,BUF,2,2,0,4,0,0,0,1,2
Desmond Trufant,7803,CB,LV,1,1,0,23,0,0,0,0,5
Darius Slay,7817,CB,PHI,1,0,0,24,0,0,1,0,4
Kevin Minter,7826,LB,TB,1,1,0,30,0,0,0,0,0
Johnathan Hankins,7830,DI,LV,1,0,0,23,0,0,0,0,2
Jamie Collins Sr.,7833,LB,NE,1,0,0,19,0,0,0,0,0
Tyrann Mathieu,7850,S,KC,3,0,0,16,0,0,0,0,5
Alex Okafor,7885,ED,KC,3,0,0,16,0,0,0,0,4
William Gholston,7908,DI,TB,2,0,0,30,0,0,0,0,2
A.J. Klein,7930,LB,BUF,1,3,0,4,0,0,0,0,1
Micah Hyde,7941,S,BUF,2,1,0,4,0,1,0,0,4
Jordan Poyer,8000,S,BUF,2,2,1,4,0,0,0,0,8
Damion Square,8042,DI,CIN,2,0,0,7,0,0,0,0,2
Chris Banjo,8419,S,ARZ,1,0,0,1,0,0,0,0,0
Aaron Donald,8648,DI,LA,4,2,0,26,5,0,0,4,8
Jimmie Ward,8665,S,SF,3,2,0,28,1,1,0,0,13
DeMarcus Lawrence,8669,ED,DAL,1,1,0,9,0,0,0,0,3
Kyle Van Noy,8675,LB,NE,1,1,0,19,0,0,0,0,1
Ross Cockrell,8744,CB,TB,1,0,0,30,0,0,0,0,0
Anthony Hitchens,8754,LB,KC,3,5,0,16,0,0,0,0,12
Dontae Johnson,8764,CB,SF,3,1,0,28,0,0,0,0,5
Devon Kennard,8809,ED,ARZ,1,0,0,1,0,0,0,0,1
Denico Autry,8982,ED,TEN,1,2,0,31,0,0,0,2,0
Shaquil Barrett,9000,ED,TB,2,2,0,30,0,1,0,0,2
Adrian Phillips,9177,S,NE,1,2,0,19,0,0,0,0,4
Zach Kerr,9195,DI,CIN,3,1,0,7,0,0,0,0,1
Daniel Sorensen,9253,S,KC,3,3,0,16,0,0,0,0,11
K'Waun Williams,9332,CB,SF,3,0,0,28,2,1,3,0,6
Arik Armstead,9450,DI,SF,3,3,0,28,1,0,0,3,3
Bud Dupree,9455,ED,TEN,1,0,0,31,0,0,0,1,1
Preston Smith,9471,ED,GB,1,3,0,12,0,0,0,0,6
Jaquiski Tartt,9479,S,SF,3,4,0,28,0,0,0,0,9
Denzel Perryman,9481,LB,LV,1,2,0,23,0,0,0,0,7
Markus Golden,9491,ED,ARZ,1,1,0,1,0,0,0,1,1
Randy Gregory,9493,ED,DAL,1,1,0,9,2,0,0,0,1
Frank Clark,9496,ED,KC,3,1,0,16,0,0,0,0,6
Jordan Hicks,9517,LB,ARZ,1,2,0,1,0,0,0,0,5
Steven Nelson,9531,CB,PHI,1,1,0,24,0,0,1,0,3
Za'Darius Smith,9555,ED,GB,1,0,0,12,1,0,0,1,0
Adrian Amos,9575,S,GB,1,2,0,12,1,1,0,0,3
Rakeem Nunez-Roches,9650,DI,TB,2,1,0,30,2,0,0,0,3
Anthony Harris,9895,S,PHI,1,3,0,24,0,0,0,0,8
Alex Singleton,9994,LB,PHI,1,3,0,24,0,0,0,1,12
De'Vante Bausby,10057,CB,NE,1,0,0,19,0,0,0,0,0
Nick Dzubnar,10127,LB,TEN,1,0,0,31,0,0,0,0,0
Efe Obada,10235,ED,BUF,1,1,0,4,0,0,0,0,2
Jalen Ramsey,10639,CB,LA,4,0,0,26,0,0,3,0,12
Leonard Floyd,10643,ED,LA,4,4,0,26,0,0,0,2,7
Eli Apple,10644,CB,CIN,4,5,0,7,0,0,2,0,16
Vernon Hargreaves III,10645,CB,CIN,1,0,0,7,0,0,0,0,0
Kenny Clark,10661,DI,GB,1,1,0,12,1,0,0,1,4
Vernon Butler,10664,DI,BUF,1,0,0,4,0,0,0,0,0
Chris Jones,10671,DI,KC,3,1,0,16,0,0,0,0,5
A'Shawn Robinson,10680,DI,LA,4,5,0,26,0,0,0,1,15
Jarran Reed,10683,DI,KC,3,7,0,16,0,0,0,1,5
Vonn Bell,10695,S,CIN,4,6,0,7,0,1,0,1,17
Kevin Byard,10698,S,TEN,1,0,0,31,0,0,0,0,3
Carl Nassib,10699,ED,LV,1,0,0,23,0,0,0,0,3
Yannick Ngakoue,10703,ED,LV,1,0,0,23,0,0,0,0,2
Javon Hargrave,10723,DI,PHI,1,1,0,24,0,0,0,2,1
Joe Schobert,10733,LB,PIT,1,1,0,25,0,0,0,0,1
Miles Killebrew,10745,LB,PIT,1,0,0,25,0,0,0,0,1
De'Vondre Campbell,10749,LB,GB,1,1,0,12,0,0,1,0,6
Hassan Ridgeway,10750,DI,PHI,1,1,0,24,0,0,0,0,0
Dean Lowry,10771,DI,GB,1,3,0,12,0,0,0,0,1
Matthew Judon,10780,ED,NE,1,0,0,19,1,0,0,0,1
Quinton Jefferson,10781,DI,LV,1,1,0,23,0,0,0,1,1
DJ Reader,10800,DI,CIN,4,1,0,7,3,0,0,1,9
Anthony Brown,10823,CB,DAL,1,0,0,9,0,1,0,0,5
Jayron Kearse,10878,S,DAL,1,3,0,9,0,0,1,0,5
Tyler Matakevich,10880,LB,BUF,1,1,0,4,0,0,0,0,1
Mike Hilton,10898,CB,CIN,4,3,0,7,0,1,2,0,9
Matthias Farley,10953,S,TEN,1,0,0,31,0,0,0,0,0
Kyle Peko,11027,DI,TEN,1,1,0,31,0,0,0,1,0
Cory Littleton,11190,LB,LV,1,2,0,23,0,0,0,0,2
Andrew Adams,11240,S,TB,1,0,0,30,0,0,1,0,0
Dont'e Deayon,11242,CB,LA,1,1,0,26,0,0,1,0,2
Kevin Peterson,11302,CB,ARZ,1,0,0,1,0,0,0,0,2
Solomon Thomas,11758,DI,LV,1,0,0,23,0,0,0,0,1
