player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Cooper Kupp,11824,WR,LA,4,80.5,19,26,1,70,33,41,6,478,14.5
Ja'Marr Chase,84270,WR,CIN,4,71.4,16,7,0,57,25,35,1,368,14.7
Tee Higgins,61211,WR,CIN,4,64.3,13,7,0,75,18,28,2,309,17.2
Tyreek Hill,10799,WR,KC,3,85.2,12,16,0,64,23,27,3,285,12.4
Travis Kelce,7844,TE,KC,3,85.2,17,16,0,48,23,27,3,299,13.0
Odell Beckham Jr.,8647,WR,LA,4,84.0,15,26,0,35,21,25,2,288,13.7
Mike Evans,8642,WR,TB,2,70.8,10,30,0,55,17,24,2,236,13.9
Joe Mixon,11803,HB,CIN,4,85.7,4,7,0,21,18,21,0,107,5.9
C.J. Uzomah,9590,TE,CIN,4,83.3,7,7,0,32,15,18,1,146,9.7
Jerick McKinnon,8731,HB,KC,3,82.4,11,16,0,23,14,17,1,165,11.8
Van Jefferson,47447,WR,LA,4,52.9,4,26,0,41,9,17,0,102,11.3
Byron Pringle,42345,WR,KC,3,70.6,6,16,0,15,12,17,3,82,6.8
Tyler Boyd,10689,WR,CIN,4,88.2,7,7,0,16,15,17,1,110,7.3
Rob Gronkowski,5567,TE,TB,2,56.3,5,30,0,42,9,16,1,116,12.9
Deebo Samuel,48274,WR,SF,3,71.4,7,28,0,44,10,14,1,154,15.4
Brandon Aiyuk,84109,WR,SF,3,64.3,7,28,0,37,9,14,0,135,15.0
Gabe Davis,55410,WR,BUF,2,76.9,10,4,0,75,10,13,5,242,24.2
Dallas Goedert,47272,TE,PHI,1,50.0,6,24,0,28,6,12,0,92,15.3
Darren Waller,9637,TE,LV,1,58.3,5,23,0,23,7,12,0,76,10.9
Tyler Higbee,10744,TE,LA,3,75.0,7,26,0,29,9,12,0,115,12.8
George Kittle,11901,TE,SF,3,63.6,7,28,0,24,7,11,1,108,15.4
Davante Adams,8688,WR,GB,1,81.8,5,12,0,25,9,11,0,90,10.0
Hunter Renfrow,47509,WR,LV,1,72.7,1,23,0,16,8,11,0,58,7.3
Christian Kirk,47546,WR,ARZ,1,54.5,1,1,0,23,6,11,0,51,8.5
Cam Akers,57206,HB,LA,4,80.0,4,26,0,40,8,10,0,76,9.5
Stefon Diggs,9579,WR,BUF,2,60.0,2,4,0,45,6,10,0,67,11.2
Aaron Jones,11937,HB,GB,1,90.0,2,12,0,75,9,10,0,129,14.3
Amari Cooper,9437,WR,DAL,1,60.0,3,9,0,20,6,10,1,64,10.7
Cedrick Wilson Jr.,48170,WR,DAL,1,50.0,1,9,1,24,5,10,0,62,12.4
Diontae Johnson,33441,WR,PIT,1,50.0,4,25,0,13,5,10,1,34,6.8
Dawson Knox,35883,TE,BUF,2,77.8,4,4,0,38,7,9,2,98,14.0
Cole Beasley,7330,WR,BUF,2,77.8,3,4,0,24,7,9,0,79,11.3
Leonard Fournette,11759,HB,TB,1,100.0,2,30,0,19,9,9,0,56,6.2
Mecole Hardman Jr.,42683,WR,KC,3,88.9,5,16,0,44,8,9,1,121,15.1
Jakobi Meyers,47468,WR,NE,1,66.7,3,19,0,19,6,9,0,40,6.7
Tyler Johnson,48054,WR,TB,2,55.6,3,30,0,17,5,9,0,45,9.0
A.J. Brown,48327,WR,TEN,1,55.6,4,31,0,41,5,9,1,142,28.4
DeVonta Smith,61100,WR,PHI,1,44.4,2,24,0,31,4,9,0,60,15.0
Kendrick Bourne,12270,WR,NE,1,87.5,5,19,0,43,7,8,2,77,11.0
Demarcus Robinson,10760,WR,KC,3,50.0,3,16,0,29,4,8,0,76,19.0
Giovani Bernard,7818,HB,TB,2,62.5,3,30,0,22,5,8,0,39,7.8
Kendall Blanton,47311,TE,LA,4,87.5,5,26,0,20,7,8,1,75,10.7
JuJu Smith-Schuster,11817,WR,PIT,1,62.5,3,25,0,7,5,8,0,26,5.2
Jauan Jennings,48027,WR,SF,3,75.0,4,28,0,13,6,8,0,43,7.2
Zay Jones,11792,WR,LV,1,62.5,4,23,0,17,5,8,1,61,12.2
Elijah Mitchell,57272,HB,SF,3,100.0,4,28,0,21,7,7,0,57,8.1
Chase Claypool,42312,WR,PIT,1,42.9,1,25,0,16,3,7,0,25,8.3
Julio Jones,6158,WR,TEN,1,85.7,4,31,0,16,6,7,0,62,10.3
Dalton Schultz,47304,TE,DAL,1,100.0,4,9,0,38,7,7,0,89,12.7
Devin Singletary,40485,HB,BUF,2,100.0,3,4,0,15,7,7,0,38,5.4
Quez Watkins,61664,WR,PHI,1,28.6,1,24,0,35,2,7,0,35,17.5
Cameron Brate,9207,TE,TB,2,66.7,2,30,0,16,4,6,0,38,9.5
Rondale Moore,62890,WR,ARZ,1,83.3,2,1,0,11,5,6,0,32,6.4
Samaje Perine,11869,HB,CIN,4,66.7,1,7,0,41,4,6,1,47,11.8
