player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Patrick Mahomes,11765,QB,KC,4,149,69.8,104,60,16,1,100.3,5,6,1051,7.1
Jared Goff,10635,QB,DET,3,111,69.4,77,50,11,0,103.3,7,4,837,7.5
Brock Purdy,77672,QB,SF,3,108,61.1,66,41,28,1,88.3,4,3,774,7.2
Baker Mayfield,46518,QB,TB,2,77,62.3,48,32,30,2,106.3,8,6,686,8.9
Josh Allen,46601,QB,BUF,2,69,68.1,47,25,4,0,101.7,2,4,389,5.6
Dak Prescott,10769,QB,DAL,1,60,68.3,41,29,9,2,89.8,4,3,403,6.7
Lamar Jackson,46416,QB,BLT,2,59,61.0,36,25,3,1,92.8,7,3,424,7.2
Jordan Love,40306,QB,GB,2,55,67.3,37,21,12,2,108.6,0,5,466,8.5
C.J. Stroud,129759,QB,HST,2,54,64.8,35,18,13,0,109.3,0,3,449,8.3
Joe Flacco,4332,QB,CLV,1,46,73.9,34,15,8,2,80.6,4,1,307,6.7
Mason Rudolph,46569,QB,PIT,1,39,56.4,22,16,25,1,80.0,1,2,229,5.9
Tua Tagovailoa,60326,QB,MIA,1,39,51.3,20,10,17,1,63.9,2,1,199,5.1
Matthew Stafford,4924,QB,LA,1,36,69.4,25,15,26,0,120.9,2,2,367,10.2
Jalen Hurts,40291,QB,PHI,1,35,71.4,25,9,24,0,100.9,3,1,250,7.1
Davis Mills,52269,QB,HST,1,1,100.0,1,0,13,0,91.7,0,0,6,6.0
Jauan Jennings,48027,WR,SF,1,1,100.0,1,1,28,0,158.3,0,1,21,21.0
